,economy,measure,vehicle_type,medium,transport_type,scenario,unit,date,fuel,frequency,unit.1,scope,comment,dataset,drive,value
16357,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16358,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16359,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16360,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16361,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16362,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16363,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16364,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16365,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16366,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16367,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16368,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16369,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16370,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16371,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16372,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16373,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16374,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16375,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16376,07_INA,energy,ht,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16377,07_INA,energy,ht,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16378,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16379,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16380,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16381,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16382,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16383,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16384,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16385,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16386,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16387,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16388,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16389,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16390,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16391,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16392,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16393,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16394,07_INA,energy,lcv,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16395,07_INA,energy,lcv,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16396,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16397,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16398,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16399,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16400,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16401,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16402,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16403,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16404,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16405,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16406,07_INA,energy,lt,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16407,07_INA,energy,lt,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
