Economy,Year,Transport Type,Vehicle Type,Turnover_rate,Scenario
03_CDA,2021,passenger,lv,0.09,Reference
03_CDA,2022,freight,ht,0.0699999999999999,Reference
03_CDA,2022,freight,lt,0.0699999999999999,Reference
03_CDA,2022,passenger,2w,0.11,Reference
03_CDA,2022,passenger,bus,0.05,Reference
03_CDA,2022,passenger,lt,0.0699999999999999,Reference
03_CDA,2022,passenger,lv,0.09,Reference
03_CDA,2023,freight,ht,0.0699999999999999,Reference
03_CDA,2023,freight,lt,0.0699999999999999,Reference
03_CDA,2023,passenger,2w,0.11,Reference
03_CDA,2023,passenger,bus,0.05,Reference
03_CDA,2023,passenger,lt,0.0699999999999999,Reference
03_CDA,2023,passenger,lv,0.09,Reference
03_CDA,2024,freight,ht,0.0699999999999999,Reference
03_CDA,2024,freight,lt,0.0699999999999999,Reference
03_CDA,2024,passenger,2w,0.11,Reference
03_CDA,2024,passenger,bus,0.05,Reference
03_CDA,2024,passenger,lt,0.0699999999999999,Reference
03_CDA,2024,passenger,lv,0.09,Reference
03_CDA,2025,freight,ht,0.0699999999999999,Reference
03_CDA,2025,freight,lt,0.0699999999999999,Reference
03_CDA,2025,passenger,2w,0.11,Reference
03_CDA,2025,passenger,bus,0.05,Reference
03_CDA,2025,passenger,lt,0.0699999999999999,Reference
03_CDA,2025,passenger,lv,0.09,Reference
03_CDA,2026,freight,ht,0.0699999999999999,Reference
03_CDA,2026,freight,lt,0.0699999999999999,Reference
03_CDA,2026,passenger,2w,0.11,Reference
03_CDA,2026,passenger,bus,0.05,Reference
03_CDA,2026,passenger,lt,0.0699999999999999,Reference
03_CDA,2026,passenger,lv,0.09,Reference
03_CDA,2027,freight,ht,0.0699999999999999,Reference
03_CDA,2027,freight,lt,0.0699999999999999,Reference
03_CDA,2027,passenger,2w,0.11,Reference
03_CDA,2027,passenger,bus,0.05,Reference
03_CDA,2027,passenger,lt,0.0699999999999999,Reference
03_CDA,2027,passenger,lv,0.09,Reference
03_CDA,2028,freight,ht,0.0699999999999999,Reference
03_CDA,2028,freight,lt,0.0699999999999999,Reference
03_CDA,2028,passenger,2w,0.11,Reference
03_CDA,2028,passenger,bus,0.05,Reference
03_CDA,2028,passenger,lt,0.0699999999999999,Reference
03_CDA,2028,passenger,lv,0.09,Reference
03_CDA,2029,freight,ht,0.0699999999999999,Reference
03_CDA,2029,freight,lt,0.0699999999999999,Reference
03_CDA,2029,passenger,2w,0.11,Reference
03_CDA,2029,passenger,bus,0.05,Reference
03_CDA,2029,passenger,lt,0.0699999999999999,Reference
03_CDA,2029,passenger,lv,0.09,Reference
03_CDA,2030,freight,ht,0.0699999999999999,Reference
03_CDA,2030,freight,lt,0.0699999999999999,Reference
03_CDA,2030,passenger,2w,0.11,Reference
03_CDA,2030,passenger,bus,0.05,Reference
03_CDA,2030,passenger,lt,0.0699999999999999,Reference
03_CDA,2030,passenger,lv,0.09,Reference
03_CDA,2031,freight,ht,0.0699999999999999,Reference
03_CDA,2031,freight,lt,0.0699999999999999,Reference
03_CDA,2031,passenger,2w,0.11,Reference
03_CDA,2031,passenger,bus,0.05,Reference
03_CDA,2031,passenger,lt,0.0699999999999999,Reference
03_CDA,2031,passenger,lv,0.09,Reference
03_CDA,2032,freight,ht,0.0699999999999999,Reference
03_CDA,2032,freight,lt,0.0699999999999999,Reference
03_CDA,2032,passenger,2w,0.11,Reference
03_CDA,2032,passenger,bus,0.05,Reference
03_CDA,2032,passenger,lt,0.0699999999999999,Reference
03_CDA,2032,passenger,lv,0.09,Reference
03_CDA,2033,freight,ht,0.0699999999999999,Reference
03_CDA,2033,freight,lt,0.0699999999999999,Reference
03_CDA,2033,passenger,2w,0.11,Reference
03_CDA,2033,passenger,bus,0.05,Reference
03_CDA,2033,passenger,lt,0.0699999999999999,Reference
03_CDA,2033,passenger,lv,0.09,Reference
03_CDA,2034,freight,ht,0.0699999999999999,Reference
03_CDA,2034,freight,lt,0.0699999999999999,Reference
03_CDA,2034,passenger,2w,0.11,Reference
03_CDA,2034,passenger,bus,0.05,Reference
03_CDA,2034,passenger,lt,0.0699999999999999,Reference
03_CDA,2034,passenger,lv,0.09,Reference
03_CDA,2035,freight,ht,0.0699999999999999,Reference
03_CDA,2035,freight,lt,0.0699999999999999,Reference
03_CDA,2035,passenger,2w,0.11,Reference
03_CDA,2035,passenger,bus,0.05,Reference
03_CDA,2035,passenger,lt,0.0699999999999999,Reference
03_CDA,2035,passenger,lv,0.09,Reference
03_CDA,2036,freight,ht,0.0699999999999999,Reference
03_CDA,2036,freight,lt,0.0699999999999999,Reference
03_CDA,2036,passenger,2w,0.11,Reference
03_CDA,2036,passenger,bus,0.05,Reference
03_CDA,2036,passenger,lt,0.0699999999999999,Reference
03_CDA,2036,passenger,lv,0.09,Reference
03_CDA,2037,freight,ht,0.0699999999999999,Reference
03_CDA,2037,freight,lt,0.0699999999999999,Reference
03_CDA,2037,passenger,2w,0.11,Reference
03_CDA,2037,passenger,bus,0.05,Reference
03_CDA,2037,passenger,lt,0.0699999999999999,Reference
03_CDA,2037,passenger,lv,0.09,Reference
03_CDA,2038,freight,ht,0.0699999999999999,Reference
03_CDA,2038,freight,lt,0.0699999999999999,Reference
03_CDA,2038,passenger,2w,0.11,Reference
03_CDA,2038,passenger,bus,0.05,Reference
03_CDA,2038,passenger,lt,0.0699999999999999,Reference
03_CDA,2038,passenger,lv,0.09,Reference
03_CDA,2039,freight,ht,0.0699999999999999,Reference
03_CDA,2039,freight,lt,0.0699999999999999,Reference
03_CDA,2039,passenger,2w,0.11,Reference
03_CDA,2039,passenger,bus,0.05,Reference
03_CDA,2039,passenger,lt,0.0699999999999999,Reference
03_CDA,2039,passenger,lv,0.09,Reference
03_CDA,2040,freight,ht,0.0699999999999999,Reference
03_CDA,2040,freight,lt,0.0699999999999999,Reference
03_CDA,2040,passenger,2w,0.11,Reference
03_CDA,2040,passenger,bus,0.05,Reference
03_CDA,2040,passenger,lt,0.0699999999999999,Reference
03_CDA,2040,passenger,lv,0.09,Reference
