Economy,Year,Transport Type,Vehicle Type,Occupancy_or_load,Scenario
02_BD,2006,passenger,lt,1.8,Reference
02_BD,2006,passenger,lv,1.7,Reference
02_BD,2007,freight,2w,0.05,Reference
02_BD,2007,freight,ht,6.0,Reference
02_BD,2007,freight,lt,0.25,Reference
02_BD,2007,passenger,2w,1.6,Reference
02_BD,2007,passenger,bus,28.8105665632761,Reference
02_BD,2007,passenger,lt,1.8,Reference
02_BD,2007,passenger,lv,1.7,Reference
02_BD,2008,freight,2w,0.05,Reference
02_BD,2008,freight,ht,6.0,Reference
02_BD,2008,freight,lt,0.25,Reference
02_BD,2008,passenger,2w,1.6,Reference
02_BD,2008,passenger,bus,28.8105665632761,Reference
02_BD,2008,passenger,lt,1.8,Reference
02_BD,2008,passenger,lv,1.7,Reference
02_BD,2009,freight,2w,0.05,Reference
02_BD,2009,freight,ht,6.0,Reference
02_BD,2009,freight,lt,0.25,Reference
02_BD,2009,passenger,2w,1.6,Reference
02_BD,2009,passenger,bus,28.8105665632761,Reference
02_BD,2009,passenger,lt,1.8,Reference
02_BD,2009,passenger,lv,1.7,Reference
02_BD,2010,freight,2w,0.05,Reference
02_BD,2010,freight,ht,6.0,Reference
02_BD,2010,freight,lt,0.25,Reference
02_BD,2010,passenger,2w,1.6,Reference
02_BD,2010,passenger,bus,28.8105665632761,Reference
02_BD,2010,passenger,lt,1.8,Reference
02_BD,2010,passenger,lv,1.7,Reference
02_BD,2011,freight,2w,0.05,Reference
02_BD,2011,freight,ht,6.0,Reference
02_BD,2011,freight,lt,0.25,Reference
02_BD,2011,passenger,2w,1.6,Reference
02_BD,2011,passenger,bus,28.8105665632761,Reference
02_BD,2011,passenger,lt,1.8,Reference
02_BD,2011,passenger,lv,1.7,Reference
02_BD,2012,freight,2w,0.05,Reference
02_BD,2012,freight,ht,6.0,Reference
02_BD,2012,freight,lt,0.25,Reference
02_BD,2012,passenger,2w,1.6,Reference
02_BD,2012,passenger,bus,24.9640614826409,Reference
02_BD,2012,passenger,lt,1.8,Reference
02_BD,2012,passenger,lv,1.7,Reference
02_BD,2013,freight,2w,0.05,Reference
02_BD,2013,freight,ht,6.0,Reference
02_BD,2013,freight,lt,0.25,Reference
02_BD,2013,passenger,2w,1.6,Reference
02_BD,2013,passenger,bus,28.6124619711428,Reference
02_BD,2013,passenger,lt,1.8,Reference
02_BD,2013,passenger,lv,1.7,Reference
02_BD,2014,freight,2w,0.05,Reference
02_BD,2014,freight,ht,6.0,Reference
02_BD,2014,freight,lt,0.25,Reference
02_BD,2014,passenger,2w,1.6,Reference
02_BD,2014,passenger,bus,27.8649280191493,Reference
02_BD,2014,passenger,lt,1.8,Reference
02_BD,2014,passenger,lv,1.7,Reference
02_BD,2015,freight,2w,0.05,Reference
02_BD,2015,freight,ht,6.0,Reference
02_BD,2015,freight,lt,0.25,Reference
02_BD,2015,passenger,2w,1.6,Reference
02_BD,2015,passenger,bus,27.7182855013681,Reference
02_BD,2015,passenger,lt,1.8,Reference
02_BD,2015,passenger,lv,1.7,Reference
02_BD,2016,freight,2w,0.04975,Reference
02_BD,2016,freight,ht,5.97,Reference
02_BD,2016,freight,lt,0.24875,Reference
02_BD,2016,passenger,2w,1.5952,Reference
02_BD,2016,passenger,bus,27.368573302325,Reference
02_BD,2016,passenger,lt,1.7946,Reference
02_BD,2016,passenger,lv,1.6949,Reference
03_CDA,1990,freight,2w,0.05,Reference
03_CDA,1990,freight,ht,4.2,Reference
03_CDA,1990,freight,lt,0.37,Reference
03_CDA,1990,passenger,2w,1.23,Reference
03_CDA,1990,passenger,bus,11.5801047675959,Reference
03_CDA,1990,passenger,lt,1.7,Reference
03_CDA,1990,passenger,lv,1.85,Reference
03_CDA,1991,freight,2w,0.05,Reference
03_CDA,1991,freight,ht,4.2,Reference
03_CDA,1991,freight,lt,0.37,Reference
03_CDA,1991,passenger,2w,1.23,Reference
03_CDA,1991,passenger,bus,11.4841838810671,Reference
03_CDA,1991,passenger,lt,1.7,Reference
03_CDA,1991,passenger,lv,1.85,Reference
03_CDA,1992,freight,2w,0.05,Reference
03_CDA,1992,freight,ht,4.2,Reference
03_CDA,1992,freight,lt,0.37,Reference
03_CDA,1992,passenger,2w,1.23,Reference
03_CDA,1992,passenger,bus,11.645813217628,Reference
03_CDA,1992,passenger,lt,1.7,Reference
03_CDA,1992,passenger,lv,1.85,Reference
03_CDA,1993,freight,2w,0.05,Reference
03_CDA,1993,freight,ht,4.2,Reference
03_CDA,1993,freight,lt,0.37,Reference
03_CDA,1993,passenger,2w,1.23,Reference
03_CDA,1993,passenger,bus,11.1727569649355,Reference
03_CDA,1993,passenger,lt,1.7,Reference
03_CDA,1993,passenger,lv,1.85,Reference
03_CDA,1994,freight,2w,0.05,Reference
03_CDA,1994,freight,ht,4.2,Reference
03_CDA,1994,freight,lt,0.37,Reference
03_CDA,1994,passenger,2w,1.23,Reference
03_CDA,1994,passenger,bus,10.8353477059583,Reference
03_CDA,1994,passenger,lt,1.7,Reference
03_CDA,1994,passenger,lv,1.85,Reference
03_CDA,1995,freight,2w,0.05,Reference
03_CDA,1995,freight,ht,4.2,Reference
03_CDA,1995,freight,lt,0.37,Reference
03_CDA,1995,passenger,2w,1.23,Reference
03_CDA,1995,passenger,bus,14.2134193199262,Reference
03_CDA,1995,passenger,lt,1.7,Reference
03_CDA,1995,passenger,lv,1.85,Reference
03_CDA,1996,freight,2w,0.05,Reference
03_CDA,1996,freight,ht,4.2,Reference
03_CDA,1996,freight,lt,0.37,Reference
03_CDA,1996,passenger,2w,1.23,Reference
03_CDA,1996,passenger,bus,12.4164444167337,Reference
03_CDA,1996,passenger,lt,1.7,Reference
03_CDA,1996,passenger,lv,1.85,Reference
03_CDA,1997,freight,2w,0.05,Reference
03_CDA,1997,freight,ht,4.2,Reference
03_CDA,1997,freight,lt,0.37,Reference
03_CDA,1997,passenger,2w,1.23,Reference
03_CDA,1997,passenger,bus,14.1418676449852,Reference
03_CDA,1997,passenger,lt,1.7,Reference
03_CDA,1997,passenger,lv,1.85,Reference
03_CDA,1998,freight,2w,0.05,Reference
03_CDA,1998,freight,ht,4.2,Reference
03_CDA,1998,freight,lt,0.37,Reference
03_CDA,1998,passenger,2w,1.23,Reference
03_CDA,1998,passenger,bus,14.2079489686146,Reference
03_CDA,1998,passenger,lt,1.7,Reference
03_CDA,1998,passenger,lv,1.85,Reference
03_CDA,1999,freight,2w,0.05,Reference
03_CDA,1999,freight,ht,4.2,Reference
03_CDA,1999,freight,lt,0.37,Reference
03_CDA,1999,passenger,2w,1.23,Reference
03_CDA,1999,passenger,bus,14.8344255762906,Reference
03_CDA,1999,passenger,lt,1.7,Reference
03_CDA,1999,passenger,lv,1.85,Reference
03_CDA,2000,freight,2w,0.05,Reference
03_CDA,2000,freight,ht,4.2,Reference
03_CDA,2000,freight,lt,0.37,Reference
03_CDA,2000,passenger,2w,1.23,Reference
03_CDA,2000,passenger,bus,15.3668051341898,Reference
03_CDA,2000,passenger,lt,1.7,Reference
03_CDA,2000,passenger,lv,1.85,Reference
03_CDA,2001,freight,2w,0.05,Reference
03_CDA,2001,freight,ht,4.2,Reference
03_CDA,2001,freight,lt,0.37,Reference
03_CDA,2001,passenger,2w,1.23,Reference
03_CDA,2001,passenger,bus,15.6305010126771,Reference
03_CDA,2001,passenger,lt,1.7,Reference
03_CDA,2001,passenger,lv,1.85,Reference
03_CDA,2002,freight,2w,0.05,Reference
03_CDA,2002,freight,ht,4.2,Reference
03_CDA,2002,freight,lt,0.37,Reference
03_CDA,2002,passenger,2w,1.23,Reference
03_CDA,2002,passenger,bus,17.0511674766276,Reference
03_CDA,2002,passenger,lt,1.7,Reference
03_CDA,2002,passenger,lv,1.85,Reference
03_CDA,2003,freight,2w,0.05,Reference
03_CDA,2003,freight,ht,4.2,Reference
03_CDA,2003,freight,lt,0.37,Reference
03_CDA,2003,passenger,2w,1.23,Reference
03_CDA,2003,passenger,bus,18.1088393027753,Reference
03_CDA,2003,passenger,lt,1.7,Reference
03_CDA,2003,passenger,lv,1.85,Reference
03_CDA,2004,freight,2w,0.05,Reference
03_CDA,2004,freight,ht,4.2,Reference
03_CDA,2004,freight,lt,0.37,Reference
03_CDA,2004,passenger,2w,1.23,Reference
03_CDA,2004,passenger,bus,16.5563128439114,Reference
03_CDA,2004,passenger,lt,1.7,Reference
03_CDA,2004,passenger,lv,1.85,Reference
03_CDA,2005,freight,2w,0.05,Reference
03_CDA,2005,freight,ht,4.2,Reference
03_CDA,2005,freight,lt,0.37,Reference
03_CDA,2005,passenger,2w,1.23,Reference
03_CDA,2005,passenger,bus,18.096371163409,Reference
03_CDA,2005,passenger,lt,1.7,Reference
03_CDA,2005,passenger,lv,1.85,Reference
03_CDA,2006,freight,2w,0.05,Reference
03_CDA,2006,freight,ht,4.2,Reference
03_CDA,2006,freight,lt,0.37,Reference
03_CDA,2006,passenger,2w,1.23,Reference
03_CDA,2006,passenger,bus,18.7121970739412,Reference
03_CDA,2006,passenger,lt,1.7,Reference
03_CDA,2006,passenger,lv,1.85,Reference
03_CDA,2007,freight,2w,0.05,Reference
03_CDA,2007,freight,ht,4.2,Reference
03_CDA,2007,freight,lt,0.37,Reference
03_CDA,2007,passenger,2w,1.23,Reference
03_CDA,2007,passenger,bus,16.3573106006626,Reference
03_CDA,2007,passenger,lt,1.7,Reference
03_CDA,2007,passenger,lv,1.85,Reference
03_CDA,2008,freight,2w,0.05,Reference
03_CDA,2008,freight,ht,4.2,Reference
03_CDA,2008,freight,lt,0.37,Reference
03_CDA,2008,passenger,2w,1.23,Reference
03_CDA,2008,passenger,bus,16.7451655633053,Reference
03_CDA,2008,passenger,lt,1.7,Reference
03_CDA,2008,passenger,lv,1.85,Reference
03_CDA,2009,freight,2w,0.05,Reference
03_CDA,2009,freight,ht,4.2,Reference
03_CDA,2009,freight,lt,0.37,Reference
03_CDA,2009,passenger,2w,1.23,Reference
03_CDA,2009,passenger,bus,18.16319146282,Reference
03_CDA,2009,passenger,lt,1.7,Reference
03_CDA,2009,passenger,lv,1.85,Reference
03_CDA,2010,freight,2w,0.05,Reference
03_CDA,2010,freight,ht,4.2,Reference
03_CDA,2010,freight,lt,0.37,Reference
03_CDA,2010,passenger,2w,1.23,Reference
03_CDA,2010,passenger,bus,19.407547340757,Reference
03_CDA,2010,passenger,lt,1.7,Reference
03_CDA,2010,passenger,lv,1.85,Reference
03_CDA,2011,freight,2w,0.05,Reference
03_CDA,2011,freight,ht,4.2,Reference
03_CDA,2011,freight,lt,0.37,Reference
03_CDA,2011,passenger,2w,1.23,Reference
03_CDA,2011,passenger,bus,20.5109642040147,Reference
03_CDA,2011,passenger,lt,1.7,Reference
03_CDA,2011,passenger,lv,1.85,Reference
03_CDA,2012,freight,2w,0.05,Reference
03_CDA,2012,freight,ht,4.2,Reference
03_CDA,2012,freight,lt,0.37,Reference
03_CDA,2012,passenger,2w,1.23,Reference
03_CDA,2012,passenger,bus,19.083984116551,Reference
03_CDA,2012,passenger,lt,1.7,Reference
03_CDA,2012,passenger,lv,1.85,Reference
03_CDA,2013,freight,2w,0.05,Reference
03_CDA,2013,freight,ht,4.2,Reference
03_CDA,2013,freight,lt,0.37,Reference
03_CDA,2013,passenger,2w,1.23,Reference
03_CDA,2013,passenger,bus,18.4411641745776,Reference
03_CDA,2013,passenger,lt,1.7,Reference
03_CDA,2013,passenger,lv,1.85,Reference
03_CDA,2014,freight,2w,0.05,Reference
03_CDA,2014,freight,ht,4.2,Reference
03_CDA,2014,freight,lt,0.37,Reference
03_CDA,2014,passenger,2w,1.23,Reference
03_CDA,2014,passenger,bus,16.3801991700768,Reference
03_CDA,2014,passenger,lt,1.7,Reference
03_CDA,2014,passenger,lv,1.85,Reference
03_CDA,2015,freight,2w,0.05,Reference
03_CDA,2015,freight,ht,4.2,Reference
03_CDA,2015,freight,lt,0.37,Reference
03_CDA,2015,passenger,2w,1.23,Reference
03_CDA,2015,passenger,bus,16.032474556288,Reference
03_CDA,2015,passenger,lt,1.7,Reference
03_CDA,2015,passenger,lv,1.85,Reference
03_CDA,2016,freight,2w,0.05,Reference
03_CDA,2016,freight,ht,4.2,Reference
03_CDA,2016,freight,lt,0.37,Reference
03_CDA,2016,passenger,2w,1.23,Reference
03_CDA,2016,passenger,bus,16.032474556288,Reference
03_CDA,2016,passenger,lt,1.7,Reference
03_CDA,2016,passenger,lv,1.85,Reference
04_CHL,1990,freight,2w,0.05,Reference
04_CHL,1990,freight,ht,3.5,Reference
04_CHL,1990,freight,lt,0.4,Reference
04_CHL,1990,passenger,2w,1.08,Reference
04_CHL,1990,passenger,lt,1.6,Reference
04_CHL,1990,passenger,lv,1.6,Reference
04_CHL,1991,freight,2w,0.05,Reference
04_CHL,1991,freight,ht,3.5,Reference
04_CHL,1991,freight,lt,0.4,Reference
04_CHL,1991,passenger,2w,1.08,Reference
04_CHL,1991,passenger,lt,1.6,Reference
04_CHL,1991,passenger,lv,1.6,Reference
04_CHL,1992,freight,2w,0.05,Reference
04_CHL,1992,freight,ht,3.5,Reference
04_CHL,1992,freight,lt,0.4,Reference
04_CHL,1992,passenger,2w,1.08,Reference
04_CHL,1992,passenger,lt,1.6,Reference
04_CHL,1992,passenger,lv,1.6,Reference
04_CHL,1993,freight,2w,0.05,Reference
04_CHL,1993,freight,ht,3.5,Reference
04_CHL,1993,freight,lt,0.4,Reference
04_CHL,1993,passenger,2w,1.08,Reference
04_CHL,1993,passenger,lt,1.6,Reference
04_CHL,1993,passenger,lv,1.6,Reference
04_CHL,1994,freight,2w,0.05,Reference
04_CHL,1994,freight,ht,3.5,Reference
04_CHL,1994,freight,lt,0.4,Reference
04_CHL,1994,passenger,2w,1.08,Reference
04_CHL,1994,passenger,lt,1.6,Reference
04_CHL,1994,passenger,lv,1.6,Reference
04_CHL,1995,freight,2w,0.05,Reference
04_CHL,1995,freight,ht,3.5,Reference
04_CHL,1995,freight,lt,0.4,Reference
04_CHL,1995,passenger,2w,1.08,Reference
04_CHL,1995,passenger,lt,1.6,Reference
04_CHL,1995,passenger,lv,1.6,Reference
