Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2023,17_SIN,Reference,passenger,lv,g,0.387238626042375
2024,17_SIN,Reference,passenger,lv,g,0.391150127315531
2025,17_SIN,Reference,passenger,lv,g,0.395101138702556
2026,17_SIN,Reference,passenger,lv,g,0.399092059295511
2027,17_SIN,Reference,passenger,lv,g,0.403123292217688
2028,17_SIN,Reference,passenger,lv,g,0.407195244664331
2029,17_SIN,Reference,passenger,lv,g,0.411308327943769
2030,17_SIN,Reference,passenger,lv,g,0.415462957518959
2031,17_SIN,Reference,passenger,lv,g,0.415462957518959
2032,17_SIN,Reference,passenger,lv,g,0.415462957518959
2033,17_SIN,Reference,passenger,lv,g,0.415462957518959
2034,17_SIN,Reference,passenger,lv,g,0.415462957518959
2035,17_SIN,Reference,passenger,lv,g,0.415462957518959
2036,17_SIN,Reference,passenger,lv,g,0.415462957518959
2037,17_SIN,Reference,passenger,lv,g,0.415462957518959
2038,17_SIN,Reference,passenger,lv,g,0.415462957518959
2039,17_SIN,Reference,passenger,lv,g,0.415462957518959
2040,17_SIN,Reference,passenger,lv,g,0.415462957518959
2041,17_SIN,Reference,passenger,lv,g,0.415462957518959
2042,17_SIN,Reference,passenger,lv,g,0.415462957518959
2043,17_SIN,Reference,passenger,lv,g,0.415462957518959
2044,17_SIN,Reference,passenger,lv,g,0.415462957518959
2045,17_SIN,Reference,passenger,lv,g,0.415462957518959
2046,17_SIN,Reference,passenger,lv,g,0.415462957518959
2047,17_SIN,Reference,passenger,lv,g,0.415462957518959
2048,17_SIN,Reference,passenger,lv,g,0.415462957518959
2049,17_SIN,Reference,passenger,lv,g,0.415462957518959
2050,17_SIN,Reference,passenger,lv,g,0.415462957518959
2018,17_SIN,Reference,passenger,lv,lpg,0.360858056446523
2019,17_SIN,Reference,passenger,lv,lpg,0.368222506578085
2020,17_SIN,Reference,passenger,lv,lpg,0.375737251610291
2021,17_SIN,Reference,passenger,lv,lpg,0.379532577384132
2022,17_SIN,Reference,passenger,lv,lpg,0.383366239781951
2023,17_SIN,Reference,passenger,lv,lpg,0.387238626042375
2024,17_SIN,Reference,passenger,lv,lpg,0.391150127315531
2025,17_SIN,Reference,passenger,lv,lpg,0.395101138702556
2026,17_SIN,Reference,passenger,lv,lpg,0.399092059295511
2027,17_SIN,Reference,passenger,lv,lpg,0.403123292217688
2028,17_SIN,Reference,passenger,lv,lpg,0.407195244664331
2029,17_SIN,Reference,passenger,lv,lpg,0.411308327943769
2030,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2031,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2032,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2033,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2034,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2035,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2036,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2037,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2038,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2039,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2040,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2041,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2042,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2043,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2044,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2045,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2046,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2047,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2048,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2049,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2050,17_SIN,Reference,passenger,lv,lpg,0.415462957518959
2018,17_SIN,Reference,passenger,lv,phevg,0.902145141116308
2019,17_SIN,Reference,passenger,lv,phevg,0.920556266445213
2020,17_SIN,Reference,passenger,lv,phevg,0.939343129025727
2021,17_SIN,Reference,passenger,lv,phevg,0.948831443460331
2022,17_SIN,Reference,passenger,lv,phevg,0.958415599454879
2023,17_SIN,Reference,passenger,lv,phevg,0.968096565105939
2024,17_SIN,Reference,passenger,lv,phevg,0.977875318288827
2025,17_SIN,Reference,passenger,lv,phevg,0.987752846756391
2026,17_SIN,Reference,passenger,lv,phevg,0.997730148238778
2027,17_SIN,Reference,passenger,lv,phevg,1.00780823054422
2028,17_SIN,Reference,passenger,lv,phevg,1.01798811166082
2029,17_SIN,Reference,passenger,lv,phevg,1.02827081985942
2030,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2031,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2032,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2033,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2034,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2035,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2036,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2037,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2038,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2039,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2040,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2041,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2042,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2043,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2044,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2045,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2046,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2047,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2048,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2049,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2050,17_SIN,Reference,passenger,lv,phevg,1.03865739379739
2018,18_CT,Carbon Neutral,passenger,lv,bev,1.17873455457258
2019,18_CT,Carbon Neutral,passenger,lv,bev,1.18584965170564
2020,18_CT,Carbon Neutral,passenger,lv,bev,1.19300769742047
2021,18_CT,Carbon Neutral,passenger,lv,bev,1.19479989821069
2022,18_CT,Carbon Neutral,passenger,lv,bev,1.196594789898
2023,18_CT,Carbon Neutral,passenger,lv,bev,1.19839237819571
2024,18_CT,Carbon Neutral,passenger,lv,bev,1.20019266740897
2025,18_CT,Carbon Neutral,passenger,lv,bev,1.20199566185822
2026,18_CT,Carbon Neutral,passenger,lv,bev,1.20380136298098
2027,18_CT,Carbon Neutral,passenger,lv,bev,1.20560977800937
2028,18_CT,Carbon Neutral,passenger,lv,bev,1.20742090985234
2029,18_CT,Carbon Neutral,passenger,lv,bev,1.20923476141701
2030,18_CT,Carbon Neutral,passenger,lv,bev,1.21105133854198
2031,18_CT,Carbon Neutral,passenger,lv,bev,1.21287064415716
2032,18_CT,Carbon Neutral,passenger,lv,bev,1.21469268266625
2033,18_CT,Carbon Neutral,passenger,lv,bev,1.21651745996891
2034,18_CT,Carbon Neutral,passenger,lv,bev,1.21834497754565
2035,18_CT,Carbon Neutral,passenger,lv,bev,1.22017523983529
2036,18_CT,Carbon Neutral,passenger,lv,bev,1.22200825278629
2037,18_CT,Carbon Neutral,passenger,lv,bev,1.22384401788813
2038,18_CT,Carbon Neutral,passenger,lv,bev,1.22568254262009
2039,18_CT,Carbon Neutral,passenger,lv,bev,1.22752382848694
2040,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2041,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2042,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2043,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2044,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2045,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2046,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2047,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2048,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2049,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2050,18_CT,Carbon Neutral,passenger,lv,bev,1.22936787999682
2018,18_CT,Carbon Neutral,passenger,lv,cng,0.409992286581416
2019,18_CT,Carbon Neutral,passenger,lv,cng,0.418359476183998
2020,18_CT,Carbon Neutral,passenger,lv,cng,0.426897424601007
2021,18_CT,Carbon Neutral,passenger,lv,cng,0.429042637887518
2022,18_CT,Carbon Neutral,passenger,lv,cng,0.431198630970218
2023,18_CT,Carbon Neutral,passenger,lv,cng,0.43336545823805
2024,18_CT,Carbon Neutral,passenger,lv,cng,0.435543174069705
2025,18_CT,Carbon Neutral,passenger,lv,cng,0.44889788776728
2026,18_CT,Carbon Neutral,passenger,lv,cng,0.453432209837156
2027,18_CT,Carbon Neutral,passenger,lv,cng,0.458012333099618
2028,18_CT,Carbon Neutral,passenger,lv,cng,0.462638720259838
2029,18_CT,Carbon Neutral,passenger,lv,cng,0.467311838762042
2030,18_CT,Carbon Neutral,passenger,lv,cng,0.472032160347874
2031,18_CT,Carbon Neutral,passenger,lv,cng,0.474404181343043
2032,18_CT,Carbon Neutral,passenger,lv,cng,0.476788121927802
2033,18_CT,Carbon Neutral,passenger,lv,cng,0.479184042039759
2034,18_CT,Carbon Neutral,passenger,lv,cng,0.481592001994345
2035,18_CT,Carbon Neutral,passenger,lv,cng,0.484012062488603
2036,18_CT,Carbon Neutral,passenger,lv,cng,0.48644428389513
2037,18_CT,Carbon Neutral,passenger,lv,cng,0.488888727425238
2038,18_CT,Carbon Neutral,passenger,lv,cng,0.491345454673383
2039,18_CT,Carbon Neutral,passenger,lv,cng,0.493814527376992
2040,18_CT,Carbon Neutral,passenger,lv,cng,0.496296007407904
2041,18_CT,Carbon Neutral,passenger,lv,cng,0.498789957261047
2042,18_CT,Carbon Neutral,passenger,lv,cng,0.501296439316356
2043,18_CT,Carbon Neutral,passenger,lv,cng,0.503815517086156
2044,18_CT,Carbon Neutral,passenger,lv,cng,0.506347253205498
2045,18_CT,Carbon Neutral,passenger,lv,cng,0.508891711702166
2046,18_CT,Carbon Neutral,passenger,lv,cng,0.511448956481973
2047,18_CT,Carbon Neutral,passenger,lv,cng,0.514019051834473
2048,18_CT,Carbon Neutral,passenger,lv,cng,0.516602062169218
2049,18_CT,Carbon Neutral,passenger,lv,cng,0.519198052275027
2050,18_CT,Carbon Neutral,passenger,lv,cng,0.521807087867434
2018,18_CT,Carbon Neutral,passenger,lv,d,0.409992286581416
2019,18_CT,Carbon Neutral,passenger,lv,d,0.418359476183998
2020,18_CT,Carbon Neutral,passenger,lv,d,0.426897424601007
2021,18_CT,Carbon Neutral,passenger,lv,d,0.429042637887518
2022,18_CT,Carbon Neutral,passenger,lv,d,0.431198630970218
2023,18_CT,Carbon Neutral,passenger,lv,d,0.43336545823805
2024,18_CT,Carbon Neutral,passenger,lv,d,0.435543174069705
2025,18_CT,Carbon Neutral,passenger,lv,d,0.455733896062975
2026,18_CT,Carbon Neutral,passenger,lv,d,0.470365362904269
2027,18_CT,Carbon Neutral,passenger,lv,d,0.485697065796637
2028,18_CT,Carbon Neutral,passenger,lv,d,0.501777353844378
2029,18_CT,Carbon Neutral,passenger,lv,d,0.518659088501381
2030,18_CT,Carbon Neutral,passenger,lv,d,0.536400182351602
2031,18_CT,Carbon Neutral,passenger,lv,d,0.552274949084888
2032,18_CT,Carbon Neutral,passenger,lv,d,0.568959572663477
2033,18_CT,Carbon Neutral,passenger,lv,d,0.586516575260766
2034,18_CT,Carbon Neutral,passenger,lv,d,0.605015078037546
2035,18_CT,Carbon Neutral,passenger,lv,d,0.624531693348413
2036,18_CT,Carbon Neutral,passenger,lv,d,0.645151570177665
2037,18_CT,Carbon Neutral,passenger,lv,d,0.666969614492436
2038,18_CT,Carbon Neutral,passenger,lv,d,0.690091930644847
2039,18_CT,Carbon Neutral,passenger,lv,d,0.693559729539031
2040,18_CT,Carbon Neutral,passenger,lv,d,0.697044954104089
2041,18_CT,Carbon Neutral,passenger,lv,d,0.700547692809853
2042,18_CT,Carbon Neutral,passenger,lv,d,0.704068033068912
2043,18_CT,Carbon Neutral,passenger,lv,d,0.707606063163027
2044,18_CT,Carbon Neutral,passenger,lv,d,0.711161872265193
2045,18_CT,Carbon Neutral,passenger,lv,d,0.714735550462261
2046,18_CT,Carbon Neutral,passenger,lv,d,0.718327186198154
2047,18_CT,Carbon Neutral,passenger,lv,d,0.72193687033722
2048,18_CT,Carbon Neutral,passenger,lv,d,0.725564694158968
2049,18_CT,Carbon Neutral,passenger,lv,d,0.729210747760206
2050,18_CT,Carbon Neutral,passenger,lv,d,0.732875123194476
2018,18_CT,Carbon Neutral,passenger,lv,fcev,0.650264600046262
2019,18_CT,Carbon Neutral,passenger,lv,fcev,0.654848539976413
2020,18_CT,Carbon Neutral,passenger,lv,fcev,0.659464793659859
2021,18_CT,Carbon Neutral,passenger,lv,fcev,0.660620880174133
2022,18_CT,Carbon Neutral,passenger,lv,fcev,0.661778993350197
2023,18_CT,Carbon Neutral,passenger,lv,fcev,0.662939136684857
2024,18_CT,Carbon Neutral,passenger,lv,fcev,0.664101314127665
2025,18_CT,Carbon Neutral,passenger,lv,fcev,0.671127600373231
2026,18_CT,Carbon Neutral,passenger,lv,fcev,0.673484797320922
2027,18_CT,Carbon Neutral,passenger,lv,fcev,0.675850273374001
2028,18_CT,Carbon Neutral,passenger,lv,fcev,0.678224057662913
2029,18_CT,Carbon Neutral,passenger,lv,fcev,0.68060617906206
2030,18_CT,Carbon Neutral,passenger,lv,fcev,0.682996667576616
2031,18_CT,Carbon Neutral,passenger,lv,fcev,0.685395552030021
2032,18_CT,Carbon Neutral,passenger,lv,fcev,0.687802861910704
2033,18_CT,Carbon Neutral,passenger,lv,fcev,0.690218626915728
2034,18_CT,Carbon Neutral,passenger,lv,fcev,0.692642877434226
2035,18_CT,Carbon Neutral,passenger,lv,fcev,0.695075642152391
2036,18_CT,Carbon Neutral,passenger,lv,fcev,0.697516951395248
2037,18_CT,Carbon Neutral,passenger,lv,fcev,0.699966835221363
2038,18_CT,Carbon Neutral,passenger,lv,fcev,0.702425323902962
2039,18_CT,Carbon Neutral,passenger,lv,fcev,0.704892447432832
2040,18_CT,Carbon Neutral,passenger,lv,fcev,0.707368236011057
2041,18_CT,Carbon Neutral,passenger,lv,fcev,0.708608300546789
2042,18_CT,Carbon Neutral,passenger,lv,fcev,0.709850539215637
2043,18_CT,Carbon Neutral,passenger,lv,fcev,0.711094955539388
2044,18_CT,Carbon Neutral,passenger,lv,fcev,0.712341553049162
2045,18_CT,Carbon Neutral,passenger,lv,fcev,0.713590336303915
2046,18_CT,Carbon Neutral,passenger,lv,fcev,0.714841308353402
2047,18_CT,Carbon Neutral,passenger,lv,fcev,0.716094473788237
2048,18_CT,Carbon Neutral,passenger,lv,fcev,0.717349836193954
2049,18_CT,Carbon Neutral,passenger,lv,fcev,0.718607399165949
2050,18_CT,Carbon Neutral,passenger,lv,fcev,0.719867166309573
2018,18_CT,Carbon Neutral,passenger,lv,g,0.409992286581416
2019,18_CT,Carbon Neutral,passenger,lv,g,0.418359476183998
2020,18_CT,Carbon Neutral,passenger,lv,g,0.426897424601007
2021,18_CT,Carbon Neutral,passenger,lv,g,0.429042637887518
2022,18_CT,Carbon Neutral,passenger,lv,g,0.431198630970218
2023,18_CT,Carbon Neutral,passenger,lv,g,0.43336545823805
2024,18_CT,Carbon Neutral,passenger,lv,g,0.435543174069705
2025,18_CT,Carbon Neutral,passenger,lv,g,0.45160753282557
2026,18_CT,Carbon Neutral,passenger,lv,g,0.463158539161007
2027,18_CT,Carbon Neutral,passenger,lv,g,0.47511652821999
2028,18_CT,Carbon Neutral,passenger,lv,g,0.487501286028392
2029,18_CT,Carbon Neutral,passenger,lv,g,0.500333874545652
2030,18_CT,Carbon Neutral,passenger,lv,g,0.513636735854897
2031,18_CT,Carbon Neutral,passenger,lv,g,0.524783386355496
2032,18_CT,Carbon Neutral,passenger,lv,g,0.536319597177129
2033,18_CT,Carbon Neutral,passenger,lv,g,0.548265494370357
2034,18_CT,Carbon Neutral,passenger,lv,g,0.560642610129529
2035,18_CT,Carbon Neutral,passenger,lv,g,0.573474007715544
2036,18_CT,Carbon Neutral,passenger,lv,g,0.586784419590949
2037,18_CT,Carbon Neutral,passenger,lv,g,0.600600402204071
2038,18_CT,Carbon Neutral,passenger,lv,g,0.614950506495621
2039,18_CT,Carbon Neutral,passenger,lv,g,0.62986546864071
2040,18_CT,Carbon Neutral,passenger,lv,g,0.645378423104742
2041,18_CT,Carbon Neutral,passenger,lv,g,0.661525141994337
2042,18_CT,Carbon Neutral,passenger,lv,g,0.678344302328026
2043,18_CT,Carbon Neutral,passenger,lv,g,0.681753067582697
2044,18_CT,Carbon Neutral,passenger,lv,g,0.699374659393613
2045,18_CT,Carbon Neutral,passenger,lv,g,0.702889104485907
2046,18_CT,Carbon Neutral,passenger,lv,g,0.706421210708271
2047,18_CT,Carbon Neutral,passenger,lv,g,0.709971065952773
2048,18_CT,Carbon Neutral,passenger,lv,g,0.713538759995917
2049,18_CT,Carbon Neutral,passenger,lv,g,0.717124382000583
2050,18_CT,Carbon Neutral,passenger,lv,g,0.720728022020236
2018,18_CT,Carbon Neutral,passenger,lv,lpg,0.372720260625805
2019,18_CT,Carbon Neutral,passenger,lv,lpg,0.380326796545372
2020,18_CT,Carbon Neutral,passenger,lv,lpg,0.388088567879342
2021,18_CT,Carbon Neutral,passenger,lv,lpg,0.390038761685499
2022,18_CT,Carbon Neutral,passenger,lv,lpg,0.391998755504302
2023,18_CT,Carbon Neutral,passenger,lv,lpg,0.393968598413748
2024,18_CT,Carbon Neutral,passenger,lv,lpg,0.395948340141756
2025,18_CT,Carbon Neutral,passenger,lv,lpg,0.408088988779424
2026,18_CT,Carbon Neutral,passenger,lv,lpg,0.412211099902935
2027,18_CT,Carbon Neutral,passenger,lv,lpg,0.41637484827238
2028,18_CT,Carbon Neutral,passenger,lv,lpg,0.420580654905492
2029,18_CT,Carbon Neutral,passenger,lv,lpg,0.424828944293034
2030,18_CT,Carbon Neutral,passenger,lv,lpg,0.429120145789209
2031,18_CT,Carbon Neutral,passenger,lv,lpg,0.431276528344876
2032,18_CT,Carbon Neutral,passenger,lv,lpg,0.433443747131943
2033,18_CT,Carbon Neutral,passenger,lv,lpg,0.435621856361827
2034,18_CT,Carbon Neutral,passenger,lv,lpg,0.437810910980622
2035,18_CT,Carbon Neutral,passenger,lv,lpg,0.440010965724482
2036,18_CT,Carbon Neutral,passenger,lv,lpg,0.4422220762683
2037,18_CT,Carbon Neutral,passenger,lv,lpg,0.44444429767906
2038,18_CT,Carbon Neutral,passenger,lv,lpg,0.446677686166472
2039,18_CT,Carbon Neutral,passenger,lv,lpg,0.448922297514681
2040,18_CT,Carbon Neutral,passenger,lv,lpg,0.451178188471216
2041,18_CT,Carbon Neutral,passenger,lv,lpg,0.453445415547932
2042,18_CT,Carbon Neutral,passenger,lv,lpg,0.455724035825215
2043,18_CT,Carbon Neutral,passenger,lv,lpg,0.458014106337071
2044,18_CT,Carbon Neutral,passenger,lv,lpg,0.460315684689892
2045,18_CT,Carbon Neutral,passenger,lv,lpg,0.462628828862956
2046,18_CT,Carbon Neutral,passenger,lv,lpg,0.464953596780176
2047,18_CT,Carbon Neutral,passenger,lv,lpg,0.46729004716592
2048,18_CT,Carbon Neutral,passenger,lv,lpg,0.469638238247429
2049,18_CT,Carbon Neutral,passenger,lv,lpg,0.471998229496881
2050,18_CT,Carbon Neutral,passenger,lv,lpg,0.474370079879486
2018,18_CT,Carbon Neutral,passenger,lv,phevg,0.68332047772908
2019,18_CT,Carbon Neutral,passenger,lv,phevg,0.697265793445524
2020,18_CT,Carbon Neutral,passenger,lv,phevg,0.711495707870836
2021,18_CT,Carbon Neutral,passenger,lv,phevg,0.715071063043598
2022,18_CT,Carbon Neutral,passenger,lv,phevg,0.718664384950364
2023,18_CT,Carbon Neutral,passenger,lv,phevg,0.722275764043093
2024,18_CT,Carbon Neutral,passenger,lv,phevg,0.725905290116175
2025,18_CT,Carbon Neutral,passenger,lv,phevg,0.748163145942952
2026,18_CT,Carbon Neutral,passenger,lv,phevg,0.755720349614371
2027,18_CT,Carbon Neutral,passenger,lv,phevg,0.763353888499364
2028,18_CT,Carbon Neutral,passenger,lv,phevg,0.771064533885305
2029,18_CT,Carbon Neutral,passenger,lv,phevg,0.778853064482082
2030,18_CT,Carbon Neutral,passenger,lv,phevg,0.786720266998886
2031,18_CT,Carbon Neutral,passenger,lv,phevg,0.790673635696772
2032,18_CT,Carbon Neutral,passenger,lv,phevg,0.794646869627084
2033,18_CT,Carbon Neutral,passenger,lv,phevg,0.798640069938699
2034,18_CT,Carbon Neutral,passenger,lv,phevg,0.802653336914943
2035,18_CT,Carbon Neutral,passenger,lv,phevg,0.806686770554042
2036,18_CT,Carbon Neutral,passenger,lv,phevg,0.81074047315855
2037,18_CT,Carbon Neutral,passenger,lv,phevg,0.814814545443161
2038,18_CT,Carbon Neutral,passenger,lv,phevg,0.818909091122305
2039,18_CT,Carbon Neutral,passenger,lv,phevg,0.823024212294987
2040,18_CT,Carbon Neutral,passenger,lv,phevg,0.82716001207283
2041,18_CT,Carbon Neutral,passenger,lv,phevg,0.831316595296862
2042,18_CT,Carbon Neutral,passenger,lv,phevg,0.83549406580648
2043,18_CT,Carbon Neutral,passenger,lv,phevg,0.839692528476927
2044,18_CT,Carbon Neutral,passenger,lv,phevg,0.843912088533392
2045,18_CT,Carbon Neutral,passenger,lv,phevg,0.848152852980817
2046,18_CT,Carbon Neutral,passenger,lv,phevg,0.852414927760601
2047,18_CT,Carbon Neutral,passenger,lv,phevg,0.856698419870909
2048,18_CT,Carbon Neutral,passenger,lv,phevg,0.861003436652167
2049,18_CT,Carbon Neutral,passenger,lv,phevg,0.865330087274804
2050,18_CT,Carbon Neutral,passenger,lv,phevg,0.869678479779057
2018,18_CT,Reference,passenger,lv,bev,1.17873455395031
2019,18_CT,Reference,passenger,lv,bev,1.18584965186148
2020,18_CT,Reference,passenger,lv,bev,1.19300769804978
2021,18_CT,Reference,passenger,lv,bev,1.19479989789663
2022,18_CT,Reference,passenger,lv,bev,1.19659479008175
2023,18_CT,Reference,passenger,lv,bev,1.19839237864972
2024,18_CT,Reference,passenger,lv,bev,1.2001926676512
2025,18_CT,Reference,passenger,lv,bev,1.20199566114291
2026,18_CT,Reference,passenger,lv,bev,1.2038013631877
2027,18_CT,Reference,passenger,lv,bev,1.20560977785448
2028,18_CT,Reference,passenger,lv,bev,1.2074209092183
2029,18_CT,Reference,passenger,lv,bev,1.20923476136034
2030,18_CT,Reference,passenger,lv,bev,1.2110513383679
2031,18_CT,Reference,passenger,lv,bev,1.2128706443344
2032,18_CT,Reference,passenger,lv,bev,1.21469268335944
2033,18_CT,Reference,passenger,lv,bev,1.21651745954876
2034,18_CT,Reference,passenger,lv,bev,1.21834497701428
2035,18_CT,Reference,passenger,lv,bev,1.22017523987409
2036,18_CT,Reference,passenger,lv,bev,1.22200825225247
2037,18_CT,Reference,passenger,lv,bev,1.22384401827989
2038,18_CT,Reference,passenger,lv,bev,1.22568254209303
2039,18_CT,Reference,passenger,lv,bev,1.22752382783478
2040,18_CT,Reference,passenger,lv,bev,1.22936787965426
2041,18_CT,Reference,passenger,lv,bev,1.22936787965426
2042,18_CT,Reference,passenger,lv,bev,1.22936787965426
2043,18_CT,Reference,passenger,lv,bev,1.22936787965426
2044,18_CT,Reference,passenger,lv,bev,1.22936787965426
2045,18_CT,Reference,passenger,lv,bev,1.22936787965426
2046,18_CT,Reference,passenger,lv,bev,1.22936787965426
2047,18_CT,Reference,passenger,lv,bev,1.22936787965426
2048,18_CT,Reference,passenger,lv,bev,1.22936787965426
2049,18_CT,Reference,passenger,lv,bev,1.22936787965426
2050,18_CT,Reference,passenger,lv,bev,1.22936787965426
2018,18_CT,Reference,passenger,lv,cng,0.409992286626737
2019,18_CT,Reference,passenger,lv,cng,0.418359476149731
2020,18_CT,Reference,passenger,lv,cng,0.426897424642583
2021,18_CT,Reference,passenger,lv,cng,0.429042637831742
2022,18_CT,Reference,passenger,lv,cng,0.431198630986675
2023,18_CT,Reference,passenger,lv,cng,0.433365458278065
2024,18_CT,Reference,passenger,lv,cng,0.435543174148809
2025,18_CT,Reference,passenger,lv,cng,0.437731833315386
2026,18_CT,Reference,passenger,lv,cng,0.439931490769233
2027,18_CT,Reference,passenger,lv,cng,0.442142201778123
2028,18_CT,Reference,passenger,lv,cng,0.444364021887561
2029,18_CT,Reference,passenger,lv,cng,0.446597006922172
2030,18_CT,Reference,passenger,lv,cng,0.448841212987107
2031,18_CT,Reference,passenger,lv,cng,0.448841212987107
2032,18_CT,Reference,passenger,lv,cng,0.448841212987107
2033,18_CT,Reference,passenger,lv,cng,0.448841212987107
2034,18_CT,Reference,passenger,lv,cng,0.448841212987107
2035,18_CT,Reference,passenger,lv,cng,0.448841212987107
2036,18_CT,Reference,passenger,lv,cng,0.448841212987107
2037,18_CT,Reference,passenger,lv,cng,0.448841212987107
2038,18_CT,Reference,passenger,lv,cng,0.448841212987107
2039,18_CT,Reference,passenger,lv,cng,0.448841212987107
2040,18_CT,Reference,passenger,lv,cng,0.448841212987107
2041,18_CT,Reference,passenger,lv,cng,0.448841212987107
2042,18_CT,Reference,passenger,lv,cng,0.448841212987107
2043,18_CT,Reference,passenger,lv,cng,0.448841212987107
2044,18_CT,Reference,passenger,lv,cng,0.448841212987107
2045,18_CT,Reference,passenger,lv,cng,0.448841212987107
2046,18_CT,Reference,passenger,lv,cng,0.448841212987107
2047,18_CT,Reference,passenger,lv,cng,0.448841212987107
2048,18_CT,Reference,passenger,lv,cng,0.448841212987107
2049,18_CT,Reference,passenger,lv,cng,0.448841212987107
2050,18_CT,Reference,passenger,lv,cng,0.448841212987107
2018,18_CT,Reference,passenger,lv,d,0.409992286626737
2019,18_CT,Reference,passenger,lv,d,0.418359476149731
2020,18_CT,Reference,passenger,lv,d,0.426897424642583
2021,18_CT,Reference,passenger,lv,d,0.429042637831742
2022,18_CT,Reference,passenger,lv,d,0.431198630986675
2023,18_CT,Reference,passenger,lv,d,0.433365458278065
2024,18_CT,Reference,passenger,lv,d,0.435543174148809
2025,18_CT,Reference,passenger,lv,d,0.437731833315386
2026,18_CT,Reference,passenger,lv,d,0.439931490769233
2027,18_CT,Reference,passenger,lv,d,0.442142201778123
2028,18_CT,Reference,passenger,lv,d,0.444364021887561
2029,18_CT,Reference,passenger,lv,d,0.446597006922172
2030,18_CT,Reference,passenger,lv,d,0.448841212987107
2031,18_CT,Reference,passenger,lv,d,0.448841212987107
2032,18_CT,Reference,passenger,lv,d,0.448841212987107
2033,18_CT,Reference,passenger,lv,d,0.448841212987107
2034,18_CT,Reference,passenger,lv,d,0.448841212987107
2035,18_CT,Reference,passenger,lv,d,0.448841212987107
2036,18_CT,Reference,passenger,lv,d,0.448841212987107
2037,18_CT,Reference,passenger,lv,d,0.448841212987107
2038,18_CT,Reference,passenger,lv,d,0.448841212987107
2039,18_CT,Reference,passenger,lv,d,0.448841212987107
2040,18_CT,Reference,passenger,lv,d,0.448841212987107
2041,18_CT,Reference,passenger,lv,d,0.448841212987107
2042,18_CT,Reference,passenger,lv,d,0.448841212987107
2043,18_CT,Reference,passenger,lv,d,0.448841212987107
2044,18_CT,Reference,passenger,lv,d,0.448841212987107
2045,18_CT,Reference,passenger,lv,d,0.448841212987107
2046,18_CT,Reference,passenger,lv,d,0.448841212987107
2047,18_CT,Reference,passenger,lv,d,0.448841212987107
2048,18_CT,Reference,passenger,lv,d,0.448841212987107
