Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2024,01_AUS,Carbon Neutral,freight,ht,phevd,0.151566727330067
2025,01_AUS,Carbon Neutral,freight,ht,phevd,0.152328369184996
2026,01_AUS,Carbon Neutral,freight,ht,phevd,0.153093838382622
2027,01_AUS,Carbon Neutral,freight,ht,phevd,0.153863154138712
2028,01_AUS,Carbon Neutral,freight,ht,phevd,0.154636335815768
2029,01_AUS,Carbon Neutral,freight,ht,phevd,0.155413402828952
2030,01_AUS,Carbon Neutral,freight,ht,phevd,0.15619437471698
2031,01_AUS,Carbon Neutral,freight,ht,phevd,0.156979271069508
2032,01_AUS,Carbon Neutral,freight,ht,phevd,0.157768111624286
2033,01_AUS,Carbon Neutral,freight,ht,phevd,0.15856091619425
2034,01_AUS,Carbon Neutral,freight,ht,phevd,0.159357704717077
2035,01_AUS,Carbon Neutral,freight,ht,phevd,0.160158497205145
2036,01_AUS,Carbon Neutral,freight,ht,phevd,0.160963313770129
2037,01_AUS,Carbon Neutral,freight,ht,phevd,0.161772174649103
2038,01_AUS,Carbon Neutral,freight,ht,phevd,0.162585100152892
2039,01_AUS,Carbon Neutral,freight,ht,phevd,0.163402110718039
2040,01_AUS,Carbon Neutral,freight,ht,phevd,0.164223226854053
2041,01_AUS,Carbon Neutral,freight,ht,phevd,0.164634813873393
2042,01_AUS,Carbon Neutral,freight,ht,phevd,0.165047432465017
2043,01_AUS,Carbon Neutral,freight,ht,phevd,0.165461085183301
2044,01_AUS,Carbon Neutral,freight,ht,phevd,0.165875774622533
2045,01_AUS,Carbon Neutral,freight,ht,phevd,0.166291503362458
2046,01_AUS,Carbon Neutral,freight,ht,phevd,0.16670827405112
2047,01_AUS,Carbon Neutral,freight,ht,phevd,0.167126089266765
2048,01_AUS,Carbon Neutral,freight,ht,phevd,0.167544951656266
2049,01_AUS,Carbon Neutral,freight,ht,phevd,0.167964863823846
2050,01_AUS,Carbon Neutral,freight,ht,phevd,0.168385828386539
2018,01_AUS,Reference,freight,ht,bev,0.29224060306407
2019,01_AUS,Reference,freight,ht,bev,0.293119962952929
2020,01_AUS,Reference,freight,ht,bev,0.294001968859507
2021,01_AUS,Reference,freight,ht,bev,0.294443634310974
2022,01_AUS,Reference,freight,ht,bev,0.294885963255858
2023,01_AUS,Reference,freight,ht,bev,0.295328956690894
2024,01_AUS,Reference,freight,ht,bev,0.295772615614315
2025,01_AUS,Reference,freight,ht,bev,0.296216941025854
2026,01_AUS,Reference,freight,ht,bev,0.296661933926744
2027,01_AUS,Reference,freight,ht,bev,0.297107595319724
2028,01_AUS,Reference,freight,ht,bev,0.297553926209038
2029,01_AUS,Reference,freight,ht,bev,0.298000927600438
2030,01_AUS,Reference,freight,ht,bev,0.29844860050119
2031,01_AUS,Reference,freight,ht,bev,0.29844860050119
2032,01_AUS,Reference,freight,ht,bev,0.29844860050119
2033,01_AUS,Reference,freight,ht,bev,0.29844860050119
2034,01_AUS,Reference,freight,ht,bev,0.29844860050119
2035,01_AUS,Reference,freight,ht,bev,0.29844860050119
2036,01_AUS,Reference,freight,ht,bev,0.29844860050119
2037,01_AUS,Reference,freight,ht,bev,0.29844860050119
2038,01_AUS,Reference,freight,ht,bev,0.29844860050119
2039,01_AUS,Reference,freight,ht,bev,0.29844860050119
2040,01_AUS,Reference,freight,ht,bev,0.29844860050119
2041,01_AUS,Reference,freight,ht,bev,0.29844860050119
2042,01_AUS,Reference,freight,ht,bev,0.29844860050119
2043,01_AUS,Reference,freight,ht,bev,0.29844860050119
2044,01_AUS,Reference,freight,ht,bev,0.29844860050119
2045,01_AUS,Reference,freight,ht,bev,0.29844860050119
2046,01_AUS,Reference,freight,ht,bev,0.29844860050119
2047,01_AUS,Reference,freight,ht,bev,0.29844860050119
2048,01_AUS,Reference,freight,ht,bev,0.29844860050119
2049,01_AUS,Reference,freight,ht,bev,0.29844860050119
2050,01_AUS,Reference,freight,ht,bev,0.29844860050119
