,date,vehicle_type,transport_type,measure,comment,frequency,fuel,scope,economy,medium,unit,dataset,drive,value
83,1991,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
84,1993,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
85,1995,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
86,1996,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
87,1997,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
88,1998,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
89,1999,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
90,2001,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
91,2002,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
92,2003,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
93,2004,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
94,2005,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
95,2006,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
96,2007,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
97,2008,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
98,2009,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
99,2010,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
100,2011,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
101,2012,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
102,2013,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
103,2014,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
104,2015,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
105,2016,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
106,2017,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
107,2018,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
108,2019,others,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
109,1991,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
110,1993,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
111,1995,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
112,1996,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
113,1997,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
114,1998,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
115,1999,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
116,2001,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
117,2002,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
118,2003,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
119,2004,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
120,2005,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
121,2006,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
122,2007,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
123,2008,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
124,2009,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
125,2010,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
126,2011,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
127,2012,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
128,2013,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
129,2014,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
130,2015,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
131,2016,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
132,2017,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
133,2018,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
134,2019,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
135,2020,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
136,2021,all,combined,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
137,2017,all,freight,stocks,no_comment,yearly,all,national,01_AUS,air,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
138,2017,all,passenger,stocks,no_comment,yearly,all,national,01_AUS,air,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
139,2017,all,freight,stocks,no_comment,yearly,all,national,01_AUS,rail,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
140,2017,all,passenger,stocks,no_comment,yearly,all,national,01_AUS,rail,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
141,2017,all,freight,stocks,no_comment,yearly,all,national,01_AUS,ship,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
142,2017,all,passenger,stocks,no_comment,yearly,all,national,01_AUS,ship,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
143,2017,lcv,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
144,2017,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
145,2017,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
146,2016,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
147,2016,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
148,2016,car,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
149,2016,ht,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
150,2016,lcv,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
151,2016,lt,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
152,2016,mt,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
153,2016,other,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
154,2016,suv,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
155,2020,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
156,2020,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
157,2020,car,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
158,2020,ht,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
159,2020,lcv,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
160,2020,lt,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
161,2020,mt,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
162,2020,other,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
163,2020,suv,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
164,2021,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
165,2021,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
166,2021,car,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
167,2021,ht,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
168,2021,lcv,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
169,2021,lt,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
170,2021,mt,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
171,2021,other,freight,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
172,2021,suv,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,aus_census $ iea_ev_explorer_no_data,phev,0.0
173,1991,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
174,1993,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
175,1995,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
176,1996,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
177,1997,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
178,1998,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
179,1999,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
180,2001,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
181,2002,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
182,2003,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
183,2004,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
184,2005,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
185,2006,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
186,2007,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
187,2008,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
188,2009,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
189,2010,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
190,2011,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,phev,0.0
