date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency,fuel,comment,scope,dataset,value
2022,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,20751.992477990145
2022,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,1926653.3332730848
2022,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,270362.69634587155
2020,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2020,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2020,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2021,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2021,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2021,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2022,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2022,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2022,09_ROK,stocks,mt,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2020,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,13356.253079600796
2020,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,1262626.9109512754
2020,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,170098.92889121015
2021,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,13519.851280000807
2021,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,1263923.6966864755
2021,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,175330.47134361046
2022,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,13834.66165199343
2022,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,1284435.55551539
2022,09_ROK,stocks,mt,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,180241.79756391438
