Transport Type,,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger
Vehicle Type,,HT,HT,HT,HT,HT,HT,HT,LT,LT,LT,LT,LT,LT,LT,2W,2W,BUS,BUS,BUS,BUS,BUS,BUS,BUS,LT,LT,LT,LT,LT,LT,LT,LV,LV,LV,LV,LV,LV,LV
Drive,,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,G,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,CNG,FCEV,D,G,LPG,PHEVG
Economy,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_AUS,2049,3.350660711,10.99968728,5.960955342,6.884114353,3.416025274,10.99968728,5.953626117,1.692239037,2.814957564,2.940995933,1.518541462,1.852753888,2.814957564,1.785649849,0.475000655,1.226508767,3.202861557,9.685410161,5.562338994,5.513383619,3.134550925,9.685410161,3.503508383,1.692239037,2.814957564,2.940995933,1.518541462,1.852753888,2.814957564,1.785649849,0.899108382,2.157746398,1.561461688,1.355840591,1.487817516,2.157746398,1.232997941
01_AUS,2050,3.350660711,10.97218806,5.956484626,6.866904067,3.407485211,10.97218806,5.938742052,1.692239037,2.800882777,2.940995933,1.510948755,1.843490118,2.800882777,1.7767216,0.475000655,1.222522614,3.202861557,9.661196635,5.5526049,5.49960016,3.126714547,9.661196635,3.494749612,1.692239037,2.800882777,2.940995933,1.510948755,1.843490118,2.800882777,1.7767216,0.899108382,2.146957666,1.55872913,1.349061388,1.480378428,2.146957666,1.226832952
02_BD,2018,5.450648352,10.64703824,9.91026973,9.369393651,10.64703824,10.64703824,9.053920118,2.258847903,4.303186962,4.094613293,3.872868266,4.303186962,4.303186962,3.020119745,0.343737724,1.055053999,5.401592812,10.32764871,9.79146657,9.088330864,10.32764871,10.32764871,7.236993084,2.258847903,4.303186962,4.094613293,3.872868266,4.303186962,4.303186962,3.020119745,0.687475449,3.098294613,1.246186654,2.788465151,3.098294613,3.098294613,1.634618485
02_BD,2019,5.434296406,10.54056786,9.880538921,9.275699714,10.54056786,10.54056786,8.963380917,2.245294816,4.217123223,4.065951,3.795410901,4.217123223,4.217123223,2.95971735,0.341675298,1.041338297,5.369183255,10.12109573,9.722926304,8.906564247,10.12109573,10.12109573,7.092253222,2.245294816,4.217123223,4.065951,3.795410901,4.217123223,4.217123223,2.95971735,0.683350596,3.03632872,1.237463348,2.732695848,3.03632872,3.03632872,1.601926115
02_BD,2020,5.417993517,10.43516218,9.850897304,9.182942717,10.43516218,10.43516218,8.873747107,2.231823047,4.132780758,4.037489343,3.719502683,4.132780758,4.132780758,2.900523003,0.339625246,1.027800899,5.336968156,9.91867382,9.65486582,8.728432962,9.91867382,9.91867382,6.950408158,2.231823047,4.132780758,4.037489343,3.719502683,4.132780758,4.132780758,2.900523003,0.679250493,2.975602146,1.228801104,2.678041931,2.975602146,2.975602146,1.569887593
02_BD,2021,5.409866527,10.38298637,9.836120958,9.137028004,10.38298637,10.38298637,8.829378372,2.225127578,4.091452951,4.02335813,3.682307656,4.091452951,4.091452951,2.871517773,0.338606371,1.021120194,5.320957251,9.819487082,9.62107379,8.641148632,9.819487082,9.819487082,6.880904076,2.225127578,4.091452951,4.02335813,3.682307656,4.091452951,4.091452951,2.871517773,0.677212741,2.945846125,1.2245003,2.651261512,2.945846125,2.945846125,1.554188717
02_BD,2022,5.401751727,10.33107144,9.821366777,9.091342864,10.33107144,10.33107144,8.78523148,2.218452195,4.050538421,4.009276377,3.645484579,4.050538421,4.050538421,2.842802595,0.337590551,1.014482912,5.304994379,9.721292211,9.587400031,8.554737146,9.721292211,9.721292211,6.812095035,2.218452195,4.050538421,4.009276377,3.645484579,4.050538421,4.050538421,2.842802595,0.675181103,2.916387663,1.220214549,2.624748897,2.916387663,2.916387663,1.53864683
02_BD,2023,5.3936491,10.27941608,9.806634726,9.045886149,10.27941608,10.27941608,8.741305323,2.211796838,4.010033037,3.995243909,3.609029733,4.010033037,4.010033037,2.814374569,0.33657778,1.007888773,5.289079396,9.624079289,9.553844131,8.469189774,9.624079289,9.624079289,6.743974085,2.211796838,4.010033037,3.995243909,3.609029733,4.010033037,4.010033037,2.814374569,0.67315556,2.887223787,1.215943799,2.598501408,2.887223787,2.887223787,1.523260362
02_BD,2024,5.385558626,10.228019,9.791924774,9.000656719,10.228019,10.228019,8.697598796,2.205161448,3.969932707,3.981260556,3.572939436,3.969932707,3.969932707,2.786230824,0.335568046,1.001337496,5.273212158,9.527838496,9.520405677,8.384497877,9.527838496,9.527838496,6.676534344,2.205161448,3.969932707,3.981260556,3.572939436,3.969932707,3.969932707,2.786230824,0.671136093,2.858351549,1.211687995,2.572516394,2.858351549,2.858351549,1.508027758
02_BD,2025,5.377480288,10.04966952,9.74057229,8.799490629,9.9893715,10.04966952,8.545935778,2.198545964,3.735706476,3.932612254,3.311703791,3.713292237,3.735706476,2.621843064,0.334561342,0.978663179,5.257392522,9.196758048,9.40407278,8.044588199,9.058806677,9.196758048,6.444533142,2.198545964,3.735706476,3.932612254,3.311703791,3.713292237,3.735706476,2.621843064,0.669122685,2.759027414,1.19688199,2.445877803,2.74247325,2.759027414,1.455625683
02_BD,2026,5.369414068,9.974296996,9.718656003,8.67205278,9.764836759,9.974296996,8.481841259,2.191950326,3.660992347,3.911966039,3.17627696,3.584111507,3.660992347,2.569406203,0.333557658,0.969121213,5.241620344,9.058806677,9.354701398,7.804343128,8.732689637,9.058806677,6.347865145,2.191950326,3.660992347,3.911966039,3.17627696,3.584111507,3.660992347,2.569406203,0.667115317,2.717642003,1.19059836,2.357826202,2.660571521,2.717642003,1.433791298
02_BD,2027,5.361359946,9.899489768,9.696789027,8.546031527,9.543108137,9.899489768,8.41822745,2.185374475,3.5877725,3.891428218,3.04494252,3.45861269,3.5877725,2.518018079,0.332556985,0.959672281,5.225895483,8.922924577,9.305589216,7.569495377,8.414317876,8.922924577,6.252647168,2.185374475,3.5877725,3.891428218,3.04494252,3.45861269,3.5877725,2.518018079,0.665113971,2.676877373,1.184347718,2.271865827,2.580509788,2.676877373,1.412284428
02_BD,2028,5.353317907,9.825243595,9.674971251,8.42141279,9.324156172,9.825243595,8.355090744,2.178818351,3.51601705,3.870998219,2.917590948,3.33670018,3.51601705,2.467657717,0.331559314,0.950315476,5.210217797,8.789080708,9.256734872,7.339937081,8.103532413,8.789080708,6.15885746,2.178818351,3.51601705,3.870998219,2.917590948,3.33670018,3.51601705,2.467657717,0.663118629,2.636724212,1.178129893,2.187953751,2.502251278,2.636724212,1.391100162
02_BD,2029,5.34528793,9.751554268,9.653202566,8.29818262,9.107951686,9.751554268,8.292427563,2.172281896,3.445696709,3.850675479,2.794115461,3.218280726,3.445696709,2.418304563,0.330564636,0.9410499,5.194587143,8.657244498,9.208137014,7.115562397,7.800177292,8.657244498,6.066474598,2.172281896,3.445696709,3.850675479,2.794115461,3.218280726,3.445696709,2.418304563,0.661129273,2.597173349,1.171944711,2.106047869,2.425759908,2.597173349,1.37023366
02_BD,2030,5.337269998,9.678417611,9.63148286,8.176327198,8.894465785,9.678417611,8.230234357,2.165765051,3.376782775,3.830459432,2.674411957,3.10326337,3.376782775,2.369938471,0.329572942,0.931874664,5.179003382,8.52738583,9.159794295,6.896267469,7.50409953,8.52738583,5.975477479,2.165765051,3.376782775,3.830459432,2.674411957,3.10326337,3.376782775,2.369938471,0.659145885,2.558215749,1.165792001,2.026106873,2.351000273,2.558215749,1.349680155
02_BD,2031,5.337269998,9.654221567,9.624259248,8.096416375,8.727416297,9.654221567,8.209658771,2.165765051,3.359898861,3.823756128,2.597537809,3.03734857,3.359898861,2.358088779,0.329572942,0.928846071,5.179003382,8.484748901,9.143764655,6.749787446,7.288399306,8.484748901,5.945600092,2.165765051,3.359898861,3.823756128,2.597537809,3.03734857,3.359898861,2.358088779,0.658157166,2.54542467,1.159671593,1.967867813,2.301063902,2.54542467,1.342931754
02_BD,2032,5.337269998,9.630086013,9.617041054,8.016854004,8.561146466,9.630086013,8.189134624,2.165765051,3.343099366,3.817064555,2.521365542,2.972015337,3.343099366,2.346298335,0.329572942,0.925827322,5.179003382,8.442325156,9.127763067,6.604599816,7.074668481,8.442325156,5.915872091,2.165765051,3.343099366,3.817064555,2.521365542,2.972015337,3.343099366,2.346298335,0.65716993,2.532697547,1.153583317,1.91016049,2.251568119,2.532697547,1.336217095
02_BD,2033,5.337269998,9.606010798,9.609828273,7.937638843,8.395653438,9.606010798,8.168661787,2.165765051,3.32638387,3.810384692,2.445890059,2.907259502,3.32638387,2.334566844,0.329572942,0.922818383,5.179003382,8.400113531,9.111789481,6.460695319,6.862892755,8.400113531,5.886292731,2.165765051,3.32638387,3.810384692,2.445890059,2.907259502,3.32638387,2.334566844,0.656184175,2.520034059,1.147527005,1.852981044,2.202509768,2.520034059,1.32953601
02_BD,2034,5.337269998,9.581995771,9.602620902,7.858769652,8.230934367,9.581995771,8.148240133,2.165765051,3.30975195,3.803716519,2.371106297,2.843076925,3.30975195,2.322894009,0.329572942,0.919819223,5.179003382,8.358112963,9.09584385,6.318064751,6.653057919,8.358112963,5.856861267,2.165765051,3.30975195,3.803716519,2.371106297,2.843076925,3.30975195,2.322894009,0.655199899,2.507433889,1.141502488,1.796325638,2.153885711,2.507433889,1.32288833
