transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,06_HKC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,06_HKC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,06_HKC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,06_HKC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,07_INA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,07_INA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,07_INA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,07_INA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,07_INA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,07_INA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,08_JPN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,08_JPN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,08_JPN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,08_JPN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,08_JPN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,08_JPN,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,09_ROK,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,09_ROK,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,09_ROK,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,09_ROK,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,09_ROK,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,09_ROK,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,10_MAS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,10_MAS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,10_MAS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,10_MAS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,10_MAS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,10_MAS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,11_MEX,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,11_MEX,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,11_MEX,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,11_MEX,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,11_MEX,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,11_MEX,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,12_NZ,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,12_NZ,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,12_NZ,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,12_NZ,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,12_NZ,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,12_NZ,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,13_PNG,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,13_PNG,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,13_PNG,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,13_PNG,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,13_PNG,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,13_PNG,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,14_PE,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,14_PE,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,14_PE,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,14_PE,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,14_PE,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,14_PE,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,15_RP,Yearly
