transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,08_JPN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,08_JPN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,08_JPN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,09_ROK,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,09_ROK,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,09_ROK,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,09_ROK,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,09_ROK,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,09_ROK,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,10_MAS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,10_MAS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,10_MAS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,10_MAS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,10_MAS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,10_MAS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,11_MEX,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,11_MEX,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,11_MEX,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,11_MEX,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,11_MEX,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,11_MEX,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,12_NZ,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,12_NZ,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,12_NZ,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,12_NZ,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,12_NZ,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,12_NZ,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,13_PNG,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,13_PNG,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,13_PNG,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,13_PNG,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,13_PNG,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,13_PNG,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,14_PE,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,14_PE,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,14_PE,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,14_PE,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,14_PE,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,14_PE,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,15_RP,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,15_RP,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,15_RP,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,15_RP,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,15_RP,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,15_RP,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,16_RUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,16_RUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,16_RUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,16_RUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,16_RUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,16_RUS,Yearly
