transport_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,21_VN,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,01_AUS,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,02_BD,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,03_CDA,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,04_CHL,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,05_PRC,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,06_HKC,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,07_INA,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,08_JPN,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,09_ROK,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,10_MAS,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,11_MEX,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,12_NZ,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,13_PNG,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,14_PE,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,15_RP,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,16_RUS,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,17_SIN,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,18_CT,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,19_THA,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,20_USA,Yearly
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,552284848.0517681,21_VN,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,01_AUS,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,02_BD,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,03_CDA,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,04_CHL,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,05_PRC,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,06_HKC,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,07_INA,Yearly
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,538620369.9569243,08_JPN,Yearly
