transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,20_USA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,21_VN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,21_VN,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,fcev,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_d,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,ice_g,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,lpg,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_d,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,phev_g,01_AUS,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,bev,02_BD,Yearly
freight,lcv,mileage,road,national,2019-12-31,Mileage,12435.0,cng,02_BD,Yearly
