,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,scenario,unit.1,dataset,value,dataset_selection_method,comment
59,2022,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
60,2022,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
61,2022,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
62,2022,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
63,2010,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
64,2010,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
65,2010,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
66,2010,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
67,2010,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
68,2011,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
69,2011,07_INA,stocks,2w,stocks,road,passenger,ice_d,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data ice_split'],1,0.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data ice_split,0.0,manual,no_comment
70,2011,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,14.3,,,manually_inputted_data $ guess,1.1,single_datapoint,no_comment
71,2011,07_INA,average_age,2w,age,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,130.0,,,manually_inputted_data $ guess,10.0,single_datapoint,no_comment
72,2011,07_INA,efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,,,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
73,2012,07_INA,mileage,2w,km_per_stock,road,passenger,ice_d,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
