economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,drive,vehicle_type,transport_type,value
20_USA,1994,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1994,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1995,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1995,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1995,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1996,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1996,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1996,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1997,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1997,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1997,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1998,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1998,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1998,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1999,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1999,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1999,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2000,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2000,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2000,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2001,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2001,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2001,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2002,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2002,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2002,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2003,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2003,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2003,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,2004,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
