,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
78,2016-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,7063.0,not enough values to interpolate,,
79,2017-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,8240.0,Manual,0.9720149167530242,8th edition transport model $ Carbon neutrality
80,2018-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,9417.0,not enough values to interpolate,,
81,2019-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,10594.0,not enough values to interpolate,,
82,2020-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,11771.0,not enough values to interpolate,,
83,2021-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,12948.0,not enough values to interpolate,,
84,2010-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,2.0,not enough values to interpolate,,
85,2011-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,1179.0,not enough values to interpolate,,
86,2012-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,2356.0,not enough values to interpolate,,
87,2013-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,3533.0,not enough values to interpolate,,
88,2014-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,4710.0,not enough values to interpolate,,
89,2015-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,5887.0,not enough values to interpolate,,
90,2016-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,7064.0,not enough values to interpolate,,
91,2017-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,8241.0,Manual,2.3365048032244045,8th edition transport model $ Carbon neutrality
92,2018-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,9418.0,not enough values to interpolate,,
93,2019-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,10595.0,not enough values to interpolate,,
94,2020-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,11772.0,not enough values to interpolate,,
95,2021-12-31,01_AUS,Energy,ht,PJ,road,freight,lpg,,Yearly,National,,12949.0,not enough values to interpolate,,
96,2010-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,3.0,not enough values to interpolate,,
97,2011-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,1180.0,not enough values to interpolate,,
98,2012-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,2357.0,not enough values to interpolate,,
99,2013-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,3534.0,not enough values to interpolate,,
100,2014-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,4711.0,not enough values to interpolate,,
101,2015-12-31,01_AUS,Energy,ldv,PJ,road,freight,bev,,Yearly,National,,5888.0,not enough values to interpolate,,
