,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
101,2011,15_PHL,energy,all,pj,ship,freight,all,all,yearly,national,['9th_outlook_esto'],1,67.27969631163467,9th_outlook_esto,0.0,manual,no_comment
102,2011,15_PHL,energy,all,pj,rail,passenger,all,all,yearly,national,['9th_outlook_esto'],1,2.3952974768950552,9th_outlook_esto,0.0,manual,no_comment
103,2011,15_PHL,energy,all,pj,rail,freight,all,all,yearly,national,['9th_outlook_esto'],1,0.2661441647855855,9th_outlook_esto,0.0,manual,no_comment
104,2011,15_PHL,energy,all,pj,air,freight,all,all,yearly,national,['9th_outlook_esto'],1,13.071292256523895,9th_outlook_esto,0.0,manual,no_comment
105,2011,15_PHL,activity,all,passenger_km_or_freight_tonne_km,air,freight,all,all,yearly,national,['ato $ world_bank_(wb)'],1,7137344963.1741,ato $ world_bank_(wb),470003413.890059,manual,no_comment
106,2012,15_PHL,energy,all,pj,ship,passenger,all,all,yearly,national,['9th_outlook_esto'],1,134.55290809850064,9th_outlook_esto,0.0,manual,no_comment
107,2012,15_PHL,energy,all,pj,ship,freight,all,all,yearly,national,['9th_outlook_esto'],1,67.27969631163467,9th_outlook_esto,0.0,manual,no_comment
108,2012,15_PHL,energy,all,pj,air,passenger,all,all,yearly,national,['9th_outlook_esto'],1,94.0816722577227,9th_outlook_esto,0.0,manual,no_comment
109,2012,15_PHL,energy,all,pj,rail,freight,all,all,yearly,national,['9th_outlook_esto'],1,0.2661441647855855,9th_outlook_esto,0.0,manual,no_comment
110,2012,15_PHL,energy,all,pj,air,freight,all,all,yearly,national,['9th_outlook_esto'],1,13.071292256523895,9th_outlook_esto,0.0,manual,no_comment
111,2012,15_PHL,activity,all,passenger_km_or_freight_tonne_km,air,freight,all,all,yearly,national,['ato $ world_bank_(wb)'],1,7137344963.1741,ato $ world_bank_(wb),533283614.65604097,manual,no_comment
112,2012,15_PHL,energy,all,pj,rail,passenger,all,all,yearly,national,['9th_outlook_esto'],1,2.3952974768950552,9th_outlook_esto,0.0,manual,no_comment
113,2013,15_PHL,energy,all,pj,ship,passenger,all,all,yearly,national,['9th_outlook_esto'],1,134.55290809850064,9th_outlook_esto,0.0,manual,no_comment
114,2013,15_PHL,energy,all,pj,ship,freight,all,all,yearly,national,['9th_outlook_esto'],1,67.27969631163467,9th_outlook_esto,0.0,manual,no_comment
115,2013,15_PHL,energy,all,pj,air,passenger,all,all,yearly,national,['9th_outlook_esto'],1,94.0816722577227,9th_outlook_esto,0.0,manual,no_comment
116,2013,15_PHL,energy,all,pj,rail,freight,all,all,yearly,national,['9th_outlook_esto'],1,0.2661441647855855,9th_outlook_esto,0.0,manual,no_comment
117,2013,15_PHL,energy,all,pj,air,freight,all,all,yearly,national,['9th_outlook_esto'],1,13.071292256523895,9th_outlook_esto,0.0,manual,no_comment
118,2013,15_PHL,activity,all,passenger_km_or_freight_tonne_km,air,passenger,all,all,yearly,national,['rev_pass_km $ icct'],1,54199366680.0,rev_pass_km $ icct,12870000000.0,single_datapoint,no_comment
119,2013,15_PHL,energy,all,pj,rail,passenger,all,all,yearly,national,['9th_outlook_esto'],1,2.3952974768950552,9th_outlook_esto,0.0,manual,no_comment
120,2013,15_PHL,activity,all,passenger_km_or_freight_tonne_km,air,freight,all,all,yearly,national,['ato $ world_bank_(wb)'],1,7137344963.1741,ato $ world_bank_(wb),325682352.0,manual,no_comment
121,2014,15_PHL,energy,all,pj,ship,passenger,all,all,yearly,national,['9th_outlook_esto'],1,134.55290809850064,9th_outlook_esto,0.0,manual,no_comment
122,2014,15_PHL,energy,all,pj,air,passenger,all,all,yearly,national,['9th_outlook_esto'],1,94.0816722577227,9th_outlook_esto,0.0,manual,no_comment
123,2014,15_PHL,energy,all,pj,ship,freight,all,all,yearly,national,['9th_outlook_esto'],1,67.27969631163467,9th_outlook_esto,0.0,manual,no_comment
124,2014,15_PHL,energy,all,pj,rail,passenger,all,all,yearly,national,['9th_outlook_esto'],1,2.3952974768950552,9th_outlook_esto,0.0,manual,no_comment
