,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
1521,2015,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),236250000.0,single_datapoint,no_comment
1522,2015,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1523,2015,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),354375000.0,single_datapoint,no_comment
1524,2015,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),0.2583130165289256,single_datapoint,no_comment
1525,2016,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),517500000.0,single_datapoint,no_comment
1526,2016,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1527,2016,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),776250000.0,single_datapoint,no_comment
1528,2016,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),0.5658285123966942,single_datapoint,no_comment
1529,2017,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),973595899.0582687,single_datapoint,no_comment
1530,2017,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1531,2017,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),1460393848.587403,single_datapoint,no_comment
1532,2017,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),1.0645184912843713,single_datapoint,no_comment
1533,2018,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1534,2018,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),1912500000.0,single_datapoint,no_comment
1535,2018,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),2868750000.0,single_datapoint,no_comment
1536,2018,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),2.091105371900826,single_datapoint,no_comment
1537,2019,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),2925000000.0,single_datapoint,no_comment
1538,2019,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1539,2019,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),4387500000.0,single_datapoint,no_comment
1540,2019,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),3.198161157024793,single_datapoint,no_comment
1541,2020,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1542,2020,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),3937500000.0,single_datapoint,no_comment
1543,2020,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),5906250000.0,single_datapoint,no_comment
