,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,dataset,value,dataset_selection_method,comment
67,2020,03_CDA,passenger_km,bus,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),9.360858716432888e+16,Manual,no_comment
68,2021,03_CDA,energy,bus,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),123280850.56496419,Manual,no_comment
69,2021,03_CDA,passenger_km,bus,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),1.505421681635289e+17,Manual,no_comment
70,2017,03_CDA,energy,bus,pj,road,passenger,cng,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,1.066519133211744,single_datapoint,no_comment
71,2017,03_CDA,passenger_km,bus,passenger_km,road,passenger,cng,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,2961853558.0,single_datapoint,no_comment
72,2017,03_CDA,energy,bus,pj,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,31.04290466818896,single_datapoint,no_comment
73,2017,03_CDA,passenger_km,bus,passenger_km,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,42102375650.0,single_datapoint,no_comment
74,2017,03_CDA,energy,bus,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,2.021169735681959,single_datapoint,no_comment
75,2017,03_CDA,passenger_km,bus,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,1652273562.0,single_datapoint,no_comment
76,2017,03_CDA,energy,bus,pj,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,0.0329111006916559,single_datapoint,no_comment
77,2017,03_CDA,passenger_km,bus,passenger_km,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,69687120.0,single_datapoint,no_comment
