Date,Vehicle Type,Transport Type,Drive,Measure,Comment,Dataset,Frequency,Fuel,Scope,Economy,Medium,Unit,Value
2020-12-31,other,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,24841.0
2020-12-31,suv,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,2201887.35
2021-12-31,2w,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,913803.0
2021-12-31,bus,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,97060.0
2021-12-31,car,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,27473748.75
2021-12-31,ht,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,296623.0
2021-12-31,ht,freight,bev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,ht,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,ht,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,ht,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,ht,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,181183.9541684818
2021-12-31,ht,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,ht,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,4744.267361482127
2021-12-31,ht,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,ht,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,ht,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,lcv,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,1853393.0
2021-12-31,lcv,freight,bev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,lcv,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2021-12-31,lcv,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,lcv,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2021-12-31,lcv,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,89514.0
2021-12-31,lcv,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2021-12-31,lcv,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,3379.0
2021-12-31,lcv,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2021-12-31,lcv,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,lcv,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,lt,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,1927717.0
2021-12-31,lt,passenger,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,89514.0
2021-12-31,lt,passenger,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,3379.0
2021-12-31,mt,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,178293.0
2021-12-31,mt,freight,bev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,mt,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,mt,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,mt,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,mt,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,173029.04583151822
2021-12-31,mt,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,mt,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,4530.732638517873
2021-12-31,mt,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.9
2021-12-31,mt,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,mt,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2021-12-31,other,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,25378.0
2021-12-31,suv,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,2227601.25
