Unit,Date,Value,Economy,Measure,Frequency,Dataset,Source
GDP_billions_international_dollars_PPP,1992-12-31,16.51,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1993-12-31,0.529,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1993-12-31,5.545,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1993-12-31,16.952,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1994-12-31,0.509,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1994-12-31,5.956,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1994-12-31,17.859,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1995-12-31,0.528,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1995-12-31,7.098,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1995-12-31,19.05,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1996-12-31,0.505,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1996-12-31,7.149,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1996-12-31,19.958,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1997-12-31,0.519,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1997-12-31,6.99,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1997-12-31,20.003,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1998-12-31,0.442,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1998-12-31,5.312,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1998-12-31,20.115,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1999-12-31,0.462,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1999-12-31,5.736,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1999-12-31,21.021,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2000-12-31,0.518,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2000-12-31,6.65,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2000-12-31,22.11,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2001-12-31,0.479,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2001-12-31,6.206,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2001-12-31,23.229,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2002-12-31,0.473,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2002-12-31,6.475,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2002-12-31,24.504,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2003-12-31,0.492,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2003-12-31,7.266,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2003-12-31,25.713,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2004-12-31,0.556,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2004-12-31,8.723,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
