Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,passenger,road,lt,phev_d,2051,0.02811398190671819,Reference
15_PHL,passenger,road,lt,phev_g,2051,0.012485014512368496,Reference
15_PHL,passenger,road,suv,bev,2051,0.3018292754839766,Reference
15_PHL,passenger,road,suv,phev_d,2051,0.02497332551089824,Reference
15_PHL,passenger,road,suv,phev_g,2051,0.017371172265237843,Reference
15_PHL,passenger,road,2w,bev,2052,0.28476010074831076,Reference
15_PHL,passenger,road,bus,bev,2052,0.23768095407329656,Reference
15_PHL,passenger,road,car,bev,2052,0.28476010074831076,Reference
15_PHL,passenger,road,car,phev_d,2052,0.0007043075208327717,Reference
15_PHL,passenger,road,car,phev_g,2052,0.032806209932184346,Reference
15_PHL,passenger,road,lt,bev,2052,0.3516720418437003,Reference
15_PHL,passenger,road,lt,phev_d,2052,0.02874939613433527,Reference
15_PHL,passenger,road,lt,phev_g,2052,0.012767192820638262,Reference
15_PHL,passenger,road,suv,bev,2052,0.36761720318592794,Reference
15_PHL,passenger,road,suv,phev_d,2052,0.025597107623356083,Reference
15_PHL,passenger,road,suv,phev_g,2052,0.017805068284682687,Reference
15_PHL,passenger,road,2w,bev,2053,0.3429381054990688,Reference
15_PHL,passenger,road,bus,bev,2053,0.23920357949173338,Reference
15_PHL,passenger,road,car,bev,2053,0.3429381054990688,Reference
15_PHL,passenger,road,car,phev_d,2053,0.0007126541394356623,Reference
15_PHL,passenger,road,car,phev_g,2053,0.03319499027885243,Reference
15_PHL,passenger,road,lt,bev,2053,0.42727978754304674,Reference
15_PHL,passenger,road,lt,phev_d,2053,0.029399171587693968,Reference
15_PHL,passenger,road,lt,phev_g,2053,0.01305574874245258,Reference
15_PHL,passenger,road,suv,bev,2053,0.4477445332681727,Reference
15_PHL,passenger,road,suv,phev_d,2053,0.026236470525150636,Reference
15_PHL,passenger,road,suv,phev_g,2053,0.01824980213089106,Reference
15_PHL,passenger,road,2w,bev,2054,0.41300218638157676,Reference
15_PHL,passenger,road,bus,bev,2054,0.24073595911270573,Reference
15_PHL,passenger,road,car,bev,2054,0.41300218638157676,Reference
15_PHL,passenger,road,car,phev_d,2054,0.0007210996722770658,Reference
15_PHL,passenger,road,car,phev_g,2054,0.03358837798974417,Reference
15_PHL,passenger,road,lt,bev,2054,0.519142823767529,Reference
15_PHL,passenger,road,lt,phev_d,2054,0.030063632850028086,Reference
15_PHL,passenger,road,lt,phev_g,2054,0.01335082642055145,Reference
15_PHL,passenger,road,suv,bev,2054,0.5453367397774921,Reference
15_PHL,passenger,road,suv,phev_d,2054,0.02689180339223213,Reference
15_PHL,passenger,road,suv,phev_g,2054,0.01870564451040023,Reference
15_PHL,passenger,road,2w,bev,2055,0.4973807320354076,Reference
15_PHL,passenger,road,bus,bev,2055,0.24227815542332695,Reference
15_PHL,passenger,road,car,bev,2055,0.4973807320354076,Reference
15_PHL,passenger,road,car,phev_d,2055,0.0007296452915713899,Reference
15_PHL,passenger,road,car,phev_g,2055,0.0339864276658837,Reference
15_PHL,passenger,road,lt,bev,2055,0.6307559573998609,Reference
15_PHL,passenger,road,lt,phev_d,2055,0.030743111840593956,Reference
15_PHL,passenger,road,lt,phev_g,2055,0.013652573255496844,Reference
15_PHL,passenger,road,suv,bev,2055,0.6642005377048873,Reference
15_PHL,passenger,road,suv,phev_d,2055,0.027563505121362564,Reference
15_PHL,passenger,road,suv,phev_g,2055,0.019172872891437865,Reference
15_PHL,passenger,road,2w,bev,2056,0.5989982638288364,Reference
15_PHL,passenger,road,bus,bev,2056,0.2438302313110137,Reference
15_PHL,passenger,road,car,bev,2056,0.5989982638288364,Reference
15_PHL,passenger,road,car,phev_d,2056,0.0007382921834247388,Reference
15_PHL,passenger,road,car,phev_g,2056,0.034389194555361824,Reference
15_PHL,passenger,road,lt,bev,2056,0.7663653614781987,Reference
