economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,drive,value
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.40197326835168
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3465.598026731648
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,19032.0
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4397.435690979469
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1946.5643090205306
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7381.0
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1450.8232233995698
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1009.1767766004301
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109860.0
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,290.0
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10626.0
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.4860432946436
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3469.513956705356
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,19044.0
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4400.208349044399
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1947.7916509556003
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7386.0
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1452.0027544755044
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1009.9972455244955
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,131413.0
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,340.0
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,13887.0
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,97.31105543290064
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,4532.6889445670995
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,30217.0
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,6981.553007494516
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,3090.446992505483
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,12153.0
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,2388.5504287675844
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1661.4495712324153
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,131332.0
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,338.0
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,13878.0
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,97.26902041975468
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,4530.730979580245
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,30198.0
