economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,value,drive
15_PHL,2050,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19081.0,bev
15_PHL,2050,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112785.0,bev
15_PHL,2050,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,339.0,bev
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,5766.206886285144,phev_g
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,123.79311371485632,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,961.3608085453329,phev_g
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,20.639191454667046,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3240.1827085839855,phev_g
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,7296.302135119425,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,23.515156296589357,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,540.3372869144316,phev_g
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,1216.7412935554269,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3.921419530141464,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1675.397542941527,phev_g
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,2408.6024570584727,phev_d
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,279.7799031062981,phev_g
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,402.22009689370185,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,7809.343350067333,phev_g
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,167.65664993266705,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1302.0467162579357,phev_g
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,27.95328374206433,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4388.974759809216,phev_g
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,9883.172892116312,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,31.85234807447104,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,731.4957933015361,phev_g
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,1647.1954820193853,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,5.308724679078506,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,2269.8272784269025,phev_g
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,3263.1727215730975,phev_d
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,378.2361739941449,phev_g
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,543.763826005855,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,9386.48414697826,phev_g
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,201.51585302173893,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1564.4140244963767,phev_g
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,33.58597550362316,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,5274.1951304782315,phev_g
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,11876.528162932556,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,38.27670658921159,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,879.0836609936665,phev_g
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,1979.5365167724576,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,6.379822233875806,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,2726.8284691313247,phev_g
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,3920.171530868675,phev_d
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,454.5397839322262,phev_g
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,653.4602160677737,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,11150.61060013375,phev_g
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,239.38939986625016,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1859.0877550179096,phev_g
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,39.91224498209035,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,6266.501084982077,phev_g
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,14111.02069181288,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,45.478223205042084,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,1044.4679867443074,phev_g
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,2351.9519382525114,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,7.5800750031808874,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,3240.031781134226,phev_g
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,4657.968218865773,phev_d
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,539.8685520350268,phev_g
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,776.1314479649731,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,12310.704854844767,phev_g
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,264.2951451552323,phev_d
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2051.9473062230322,phev_g
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,44.052693776967544,phev_d
