,vehicle_type,drive,transport_type,economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,value
99,all,all,passenger,19_THA,2011,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,510514000000.0
100,all,all,passenger,19_THA,2012,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,558196000000.0
101,all,all,passenger,19_THA,2013,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,690882000000.0
102,all,all,passenger,19_THA,2014,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,643164000000.0
103,all,all,passenger,19_THA,2015,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,663561000000.0
104,all,all,passenger,19_THA,2016,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,696062000000.0
105,all,all,passenger,19_THA,2017,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,695426000000.0
106,all,all,passenger,19_THA,2018,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,715798000000.0
107,all,all,passenger,19_THA,2019,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,735051000000.0
108,all,all,passenger,19_THA,1990,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,11611631000.0
109,all,all,passenger,19_THA,1991,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12819567000.0
110,all,all,passenger,19_THA,1992,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,14135915000.0
111,all,all,passenger,19_THA,1993,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,13702498000.0
112,all,all,passenger,19_THA,1994,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,13814330000.0
113,all,all,passenger,19_THA,1995,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12975009000.0
114,all,all,passenger,19_THA,1996,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12205324000.0
115,all,all,passenger,19_THA,1997,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,11804322000.0
116,all,all,passenger,19_THA,1998,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10946849000.0
117,all,all,passenger,19_THA,1999,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9893724000.0
118,all,all,passenger,19_THA,2000,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9935213000.0
119,all,all,passenger,19_THA,2001,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10321100000.0
120,all,all,passenger,19_THA,2002,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10378044000.0
121,all,all,passenger,19_THA,2003,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10250742000.0
122,all,all,passenger,19_THA,2004,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9332099000.0
123,all,all,passenger,19_THA,2005,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9052070000.0
124,all,all,passenger,19_THA,2006,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8824223000.0
125,all,all,passenger,19_THA,2007,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,446097827000.0
126,all,all,passenger,19_THA,2008,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,446123740000.0
127,all,all,passenger,19_THA,2009,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,460985560000.0
128,all,all,passenger,19_THA,2010,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,452885976000.0
129,all,all,passenger,19_THA,2011,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,518546162000.0
130,all,all,passenger,19_THA,2012,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,565335062000.0
131,all,all,passenger,19_THA,2013,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,697910602000.0
132,all,all,passenger,19_THA,2014,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,649637119000.0
133,all,all,passenger,19_THA,2015,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,669694426000.0
134,all,all,passenger,19_THA,2016,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,702168858000.0
135,all,all,passenger,19_THA,2017,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,701946452000.0
136,all,all,passenger,19_THA,2018,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,721704537000.0
137,all,all,passenger,19_THA,2019,rail_road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,735051000000.0
138,all,all,freight,19_THA,2018,all,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,220716735895.4955
139,all,all,freight,19_THA,2004,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,177902000000.0
140,all,all,freight,19_THA,2005,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,176751000000.0
141,all,all,freight,19_THA,2006,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,184006354500.0
142,all,all,freight,19_THA,2007,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,186174282500.0
143,all,all,freight,19_THA,2008,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,181451983000.0
144,all,all,freight,19_THA,2009,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,183430000000.0
145,all,all,freight,19_THA,2010,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,185884000000.0
146,all,all,freight,19_THA,2011,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,184083000000.0
147,all,all,freight,19_THA,2012,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,187584000000.0
148,all,all,freight,19_THA,2013,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,183949000000.0
149,all,all,freight,19_THA,2014,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,187330000000.0
150,all,all,freight,19_THA,2015,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,193911399600.0
151,all,all,freight,19_THA,2016,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,189109589600.0
152,all,all,freight,19_THA,2017,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,191612822700.0
153,all,all,freight,19_THA,2018,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,192074963600.0
154,all,all,freight,19_THA,2019,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,190987201300.0
155,all,all,freight,19_THA,2018,rail,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,24881041574.8764
156,all,all,freight,19_THA,1995,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,3242000000.0
157,all,all,freight,19_THA,1996,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,3286000000.0
158,all,all,freight,19_THA,1997,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,3482000000.0
159,all,all,freight,19_THA,1998,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2874000000.0
160,all,all,freight,19_THA,1999,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2927000000.0
161,all,all,freight,19_THA,2000,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,2247000000.0
162,all,all,freight,19_THA,2002,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,3894000000.0
