Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,freight,ht,lpg,2017-12-31,12_NZ,Yearly,Stocks,Stocks,99.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,12_NZ,Yearly,Stocks,Stocks,244.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,12_NZ,Yearly,Stocks,Stocks,162186.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,12_NZ,Yearly,Stocks,Stocks,74.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,12_NZ,Yearly,Stocks,Stocks,18.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,12_NZ,Yearly,Stocks,Stocks,10170.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,12_NZ,Yearly,Stocks,Stocks,221.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,12_NZ,Yearly,Stocks,Stocks,19.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,13_PNG,Yearly,Stocks,Stocks,77617.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,13_PNG,Yearly,Stocks,Stocks,8195.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,13_PNG,Yearly,Stocks,Stocks,10505.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,13_PNG,Yearly,Stocks,Stocks,117678.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,13_PNG,Yearly,Stocks,Stocks,12483.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,14_PE,Yearly,Stocks,Stocks,13585.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,14_PE,Yearly,Stocks,Stocks,379568.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,14_PE,Yearly,Stocks,Stocks,23395.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,14_PE,Yearly,Stocks,Stocks,13585.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,14_PE,Yearly,Stocks,Stocks,1099.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,14_PE,Yearly,Stocks,Stocks,219108.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,14_PE,Yearly,Stocks,Stocks,3785.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,14_PE,Yearly,Stocks,Stocks,75707.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,14_PE,Yearly,Stocks,Stocks,27633.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,14_PE,Yearly,Stocks,Stocks,3785.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,15_RP,Yearly,Stocks,Stocks,390519.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,15_RP,Yearly,Stocks,Stocks,5743.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,15_RP,Yearly,Stocks,Stocks,6009720.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,15_RP,Yearly,Stocks,Stocks,3918.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,15_RP,Yearly,Stocks,Stocks,28969.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,16_RUS,Yearly,Stocks,Stocks,75803.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,16_RUS,Yearly,Stocks,Stocks,1436036.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,16_RUS,Yearly,Stocks,Stocks,892785.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,16_RUS,Yearly,Stocks,Stocks,33690.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,16_RUS,Yearly,Stocks,Stocks,2262091.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,16_RUS,Yearly,Stocks,Stocks,94911.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,16_RUS,Yearly,Stocks,Stocks,503206.00000000006,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,16_RUS,Yearly,Stocks,Stocks,158185.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,16_RUS,Yearly,Stocks,Stocks,39546.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,17_SIN,Yearly,Stocks,Stocks,54763.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,17_SIN,Yearly,Stocks,Stocks,340.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,17_SIN,Yearly,Stocks,Stocks,143050.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,17_SIN,Yearly,Stocks,Stocks,18020.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,17_SIN,Yearly,Stocks,Stocks,95.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,18_CT,Yearly,Stocks,Stocks,178188.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,18_CT,Yearly,Stocks,Stocks,52.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,18_CT,Yearly,Stocks,Stocks,52035.0,8th edition transport model $ Reference,National,,,
