Economy,Scenario,Transport Type,Year,Vehicle Type,Drive,Value
05_PRC,Carbon Neutral,freight,2017,lt,phevg,0.00247671490129165
05_PRC,Carbon Neutral,passenger,2017,2w,bev,0.13097155108432817
05_PRC,Carbon Neutral,passenger,2017,2w,g,0.1360460021366686
05_PRC,Carbon Neutral,passenger,2017,bus,bev,9.23274214978967e-06
05_PRC,Carbon Neutral,freight,2017,lt,cng,0.00957345597440593
05_PRC,Carbon Neutral,passenger,2017,bus,g,0.2625331006866205
05_PRC,Carbon Neutral,passenger,2017,bus,lpg,6.104292330439446e-07
05_PRC,Reference,freight,2017,ht,g,0.27841215277346393
04_CHL,Reference,passenger,2017,lv,g,0.5722490896002894
05_PRC,Carbon Neutral,passenger,2017,lt,bev,0.0020936573586679665
05_PRC,Carbon Neutral,passenger,2017,lt,cng,0.0015139065187570414
05_PRC,Carbon Neutral,passenger,2017,lt,d,0.01762184985412022
05_PRC,Carbon Neutral,passenger,2017,lt,fcev,1.8506248336267534e-06
05_PRC,Carbon Neutral,passenger,2017,lt,g,0.007959000547757536
05_PRC,Carbon Neutral,passenger,2017,lt,lpg,0.00012008287568786084
05_PRC,Carbon Neutral,passenger,2017,lt,phevg,0.0005886655873760906
05_PRC,Carbon Neutral,passenger,2017,lv,bev,0.1538463930657893
05_PRC,Carbon Neutral,passenger,2017,lv,cng,0.14245013511207474
05_PRC,Carbon Neutral,passenger,2017,lv,d,0.001210857212283623
05_PRC,Carbon Neutral,passenger,2017,lv,fcev,0.0001684322791402863
05_PRC,Carbon Neutral,passenger,2017,lv,g,0.000631183826967276
05_PRC,Carbon Neutral,passenger,2017,lv,lpg,0.014530330482045906
05_PRC,Carbon Neutral,passenger,2017,lv,phevg,0.056569314640966685
05_PRC,Carbon Neutral,freight,2017,ht,phevd,0.000999716857245908
05_PRC,Carbon Neutral,passenger,2017,bus,phevd,0.06958593453571346
05_PRC,Reference,freight,2017,ht,bev,0.05998656799582409
05_PRC,Reference,freight,2017,ht,cng,0.1268293405019745
05_PRC,Reference,freight,2017,ht,d,0.3775747228164123
05_PRC,Reference,freight,2017,ht,fcev,0.00034850263150755
05_PRC,Carbon Neutral,passenger,2017,bus,cng,1.1235713070714953e-05
02_BD,Reference,passenger,2017,lv,g,0.2239434327228194
05_PRC,Reference,freight,2017,ht,lpg,0.002844590514963928
05_PRC,Reference,freight,2017,lt,cng,0.00957345597440593
05_PRC,Reference,freight,2017,lt,fcev,7.295085109171039e-06
05_PRC,Reference,freight,2017,lt,g,0.04607216077206911
05_PRC,Reference,freight,2017,lt,lpg,0.0006984589926042888
05_PRC,Reference,freight,2017,lt,phevg,0.00247671490129165
05_PRC,Reference,passenger,2017,2w,bev,0.13097155108432817
05_PRC,Reference,passenger,2017,2w,g,0.1360460021366686
05_PRC,Reference,passenger,2017,bus,bev,9.23274214978967e-06
05_PRC,Reference,passenger,2017,bus,cng,1.1235713070714953e-05
05_PRC,Reference,passenger,2017,bus,d,1.651974111925093e-05
05_PRC,Reference,passenger,2017,bus,fcev,0.0015201529446283379
05_PRC,Reference,passenger,2017,bus,g,0.2625331006866205
05_PRC,Reference,passenger,2017,bus,lpg,6.104292330439446e-07
05_PRC,Reference,passenger,2017,lt,bev,0.0020936573586679665
05_PRC,Reference,passenger,2017,lt,cng,0.0015139065187570414
05_PRC,Reference,passenger,2017,lt,d,0.01762184985412022
05_PRC,Reference,passenger,2017,lt,fcev,1.8506248336267534e-06
05_PRC,Reference,passenger,2017,lt,g,0.007959000547757536
05_PRC,Reference,passenger,2017,lt,lpg,0.00012008287568786084
05_PRC,Reference,passenger,2017,lt,phevg,0.0005886655873760906
05_PRC,Reference,passenger,2017,lv,bev,0.1538463930657893
05_PRC,Reference,passenger,2017,lv,cng,0.14245013511207474
05_PRC,Reference,freight,2017,lt,d,0.08619317252155602
05_PRC,Reference,passenger,2017,lv,d,0.001210857212283623
05_PRC,Reference,passenger,2017,lv,g,0.000631183826967276
