,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
6520,road,passenger,car,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6521,road,passenger,car,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6522,road,passenger,car,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6523,road,passenger,car,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6524,road,passenger,car,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6525,road,passenger,car,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6526,road,passenger,car,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6527,road,passenger,car,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6528,road,passenger,lt,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6529,road,passenger,lt,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6530,road,passenger,lt,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6531,road,passenger,lt,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6532,road,passenger,lt,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6533,road,passenger,lt,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6534,road,passenger,lt,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6535,road,passenger,lt,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6536,road,passenger,suv,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6537,road,passenger,suv,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
