,measure,vehicle_type,drive,year,value,unit,new_vehicles,medium
0,travel_km,mt,lpg,2029,0.048501,billion miles,False,road
0,travel_km,mt,lpg,2030,0.050945,billion miles,False,road
0,travel_km,mt,lpg,2031,0.053743,billion miles,False,road
0,travel_km,mt,lpg,2032,0.057158,billion miles,False,road
0,travel_km,mt,lpg,2033,0.061107,billion miles,False,road
0,travel_km,mt,lpg,2034,0.065479,billion miles,False,road
0,travel_km,mt,lpg,2035,0.069911,billion miles,False,road
0,travel_km,mt,lpg,2036,0.074638,billion miles,False,road
0,travel_km,mt,lpg,2037,0.079953,billion miles,False,road
0,travel_km,mt,lpg,2038,0.085782,billion miles,False,road
0,travel_km,mt,lpg,2039,0.092219,billion miles,False,road
0,travel_km,mt,lpg,2040,0.099416,billion miles,False,road
0,travel_km,mt,lpg,2041,0.107424,billion miles,False,road
0,travel_km,mt,lpg,2042,0.115934,billion miles,False,road
0,travel_km,mt,lpg,2043,0.124888,billion miles,False,road
0,travel_km,mt,lpg,2044,0.134116,billion miles,False,road
0,travel_km,mt,lpg,2045,0.143486,billion miles,False,road
0,travel_km,mt,lpg,2046,0.153252,billion miles,False,road
0,travel_km,mt,lpg,2047,0.163224,billion miles,False,road
0,travel_km,mt,lpg,2048,0.173081,billion miles,False,road
0,travel_km,mt,lpg,2049,0.182492,billion miles,False,road
0,travel_km,mt,lpg,2050,0.192533,billion miles,False,road
0,travel_km,mt,cng,2021,,billion miles,False,road
0,travel_km,mt,cng,2022,0.040711,billion miles,False,road
0,travel_km,mt,cng,2023,0.038744,billion miles,False,road
0,travel_km,mt,cng,2024,0.036801,billion miles,False,road
0,travel_km,mt,cng,2025,0.035049,billion miles,False,road
0,travel_km,mt,cng,2026,0.033437,billion miles,False,road
0,travel_km,mt,cng,2027,0.031726,billion miles,False,road
0,travel_km,mt,cng,2028,0.030068,billion miles,False,road
0,travel_km,mt,cng,2029,0.028327,billion miles,False,road
0,travel_km,mt,cng,2030,0.026554,billion miles,False,road
0,travel_km,mt,cng,2031,0.024896,billion miles,False,road
0,travel_km,mt,cng,2032,0.023395,billion miles,False,road
0,travel_km,mt,cng,2033,0.021886,billion miles,False,road
0,travel_km,mt,cng,2034,0.020384,billion miles,False,road
0,travel_km,mt,cng,2035,0.018924,billion miles,False,road
0,travel_km,mt,cng,2036,0.017501,billion miles,False,road
0,travel_km,mt,cng,2037,0.01624,billion miles,False,road
0,travel_km,mt,cng,2038,0.015091,billion miles,False,road
0,travel_km,mt,cng,2039,0.014094,billion miles,False,road
0,travel_km,mt,cng,2040,0.01316,billion miles,False,road
0,travel_km,mt,cng,2041,0.012222,billion miles,False,road
0,travel_km,mt,cng,2042,0.01138,billion miles,False,road
0,travel_km,mt,cng,2043,0.010424,billion miles,False,road
0,travel_km,mt,cng,2044,0.00945,billion miles,False,road
0,travel_km,mt,cng,2045,0.008636,billion miles,False,road
0,travel_km,mt,cng,2046,0.007954,billion miles,False,road
0,travel_km,mt,cng,2047,0.007266,billion miles,False,road
0,travel_km,mt,cng,2048,0.006568,billion miles,False,road
0,travel_km,mt,cng,2049,0.005938,billion miles,False,road
0,travel_km,mt,cng,2050,0.005415,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2021,,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2022,0.567986,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2023,0.597828,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2024,0.637764,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2025,0.685371,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2026,0.742963,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2027,0.808578,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2028,0.879891,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2029,0.955174,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2030,1.036787,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2031,1.129257,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2032,1.237243,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2033,1.355722,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2034,1.486297,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2035,1.627784,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2036,1.769562,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2037,1.919661,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2038,2.070964,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2039,2.223877,billion miles,False,road
0,travel_km,mt,ethanol_flex_fuel,2040,2.384504,billion miles,False,road
