,date,medium,measure,transport_type,unit,vehicle_type,scope,frequency,economy,fuel,comment,dataset,drive,value
6997,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,372831971.2945805
6998,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,382290496.42466366
6999,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,243005333.142778
7000,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,47667902.7411878
7001,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,43074050.903582335
7002,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,68325430.329431
7003,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,123960665.18509032
7004,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,58842161.93004909
7005,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,74990066.95356904
7006,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,76892520.30359711
7007,2019,road,efficiency,freight,km_per_pj,ht,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,48877209.052581474
7008,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,57201483.28942536
7009,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,51688861.0842988
7010,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,81990516.3953172
7011,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,148752798.22210836
7012,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,70610594.31605889
7013,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,89988080.34428284
7014,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,92271024.36431654
7015,2019,road,efficiency,freight,km_per_pj,mt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,58652650.86309777
7016,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,160120818.75335357
7017,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,144689652.80794245
7018,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,229511331.87931597
7019,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,416395143.5080988
7020,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,197656171.21048304
7021,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,251898452.1758524
7022,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,258288965.92890123
7023,2019,road,efficiency,freight,km_per_pj,lcv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,164182988.59026232
7024,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,171379208.62265775
7025,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,154863048.95997757
7026,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,245648696.6132599
7027,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,445672653.4646287
7028,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,211553740.88872293
7029,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,269609896.5973206
7030,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,276449739.15006673
7031,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,175726997.10738078
7032,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,538620369.9569243
7033,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,67529528.88334937
7034,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,486712439.5885009
7035,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,61021572.11340829
7036,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,772038760.784531
7037,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,96794359.63336056
7038,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,1400685482.3174047
7039,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,175610942.34554458
7040,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,664883185.6502721
7041,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,83359729.40090285
7042,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,847345389.3058648
7043,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,106235928.1842228
7044,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,868842037.3287809
7045,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,108931070.43009593
7046,2020,road,efficiency,passenger,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,552284848.0517681
7047,2020,road,efficiency,passenger,km_per_pj,bus,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,69242712.82449043
7048,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,538620369.9569243
7049,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,486712439.5885009
7050,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,772038760.784531
7051,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,1400685482.3174047
7052,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,664883185.6502721
7053,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,847345389.3058648
7054,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,868842037.3287809
7055,2020,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,552284848.0517681
7056,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,296241203.47630835
7057,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,267691841.77367547
7058,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,424621318.431492
7059,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,770377015.2745725
7060,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,365685752.1076496
7061,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,466039964.1182256
7062,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,477863120.5308296
7063,2020,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,303756666.42847246
7064,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,236992962.7810467
7065,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,214153473.4189404
7066,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,339697054.74519366
