Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
11_MEX,2018-12-31,National,Yearly,passenger,road,ldv,d,0.001782963352195769,66092.43493434582,LdvEv_est,8th/IeaEv
11_MEX,2018-12-31,National,Yearly,passenger,road,ldv,g,0.9907099182510422,36724496.176648594,LdvEv_est,8th/IeaEv
11_MEX,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.006655695251008866,246719.09536356977,LdvEv_est,8th/IeaEv
11_MEX,2018-12-31,National,Yearly,passenger,road,ldv,phevg,0.0002121862596131021,7865.504661198072,LdvEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,ldv,bev,0.0035810086478180727,12965.349776169045,LdvEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,ldv,cng,7.1483048172415906e-06,25.88105234503746,LdvEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,ldv,d,0.1725182881985112,624617.2989954948,LdvEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,ldv,g,0.8215340525355262,2974434.689133391,LdvEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.0004998314676055851,1809.6828139722347,LdvEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,ldv,phevg,0.0003796849597157937,1374.6820495575666,LdvEv_est,8th/IeaEv
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,bev,0.002788765670342351,616453.4610812498,LdvEv_est,8th/IeaEv
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,cng,0.001034696864417432,228718.55818626046,LdvEv_est,8th/IeaEv
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,d,0.006199636855597564,1370422.6345452787,LdvEv_est,8th/IeaEv
20_USA,2018-12-31,National,Yearly,passenger,road,ldv,fcev,3.7328552097515904e-05,8251.433737292291,LdvEv_est,8th/IeaEv
