Date,Vehicle Type,Transport Type,Drive,Fuel,Economy,Medium,Country,measure,Value,Comment,Scope,Dataset,Frequency,Unit
2000,all,freight,rail_electricity,Electricity,01_AUS,rail,Australia,Energy,2.22,no_comment,all,EEI,annual,PJ
2000,all,freight,rail_electricity,Electricity,08_JPN,rail,Japan,Energy,3.48,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_coal,Coal and coal products,01_AUS,ship,Australia,Energy,4.21,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_diesel,Diesel and light fuel oil,01_AUS,ship,Australia,Energy,3.64,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_diesel,Diesel and light fuel oil,03_CDA,ship,Canada,Energy,44.49,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_diesel,Diesel and light fuel oil,08_JPN,ship,Japan,Energy,48.16,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_diesel,Diesel and light fuel oil,09_ROK,ship,Korea,Energy,17.27,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_diesel,Diesel and light fuel oil,12_NZ,ship,New Zealand,Energy,2.37,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_diesel,Diesel and light fuel oil,20_USA,ship,United States,Energy,108.29,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_fuel_oil,Heavy fuel oil,01_AUS,ship,Australia,Energy,8.27,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_fuel_oil,Heavy fuel oil,03_CDA,ship,Canada,Energy,58.33,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_fuel_oil,Heavy fuel oil,08_JPN,ship,Japan,Energy,73.61,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_fuel_oil,Heavy fuel oil,09_ROK,ship,Korea,Energy,5.7,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_fuel_oil,Heavy fuel oil,20_USA,ship,United States,Energy,4.06,no_comment,all,EEI,annual,PJ
2000,all,freight,ship_lpg,Gas,01_AUS,ship,Australia,Energy,0.05,no_comment,all,EEI,annual,PJ
2000,all,passenger,,Other sources,09_ROK,air,Korea,Energy,0.03,no_comment,all,EEI,annual,PJ
2000,all,passenger,,Other sources,09_ROK,all,Korea,Energy,0.06,no_comment,all,EEI,annual,PJ
2000,all,passenger,,Other sources,09_ROK,rail,Korea,Energy,0.03,no_comment,all,EEI,annual,PJ
2000,all,passenger,air_jet_fuel,Jet fuel and aviation gasoline,01_AUS,air,Australia,Energy,72.37,no_comment,all,EEI,annual,PJ
2000,all,passenger,air_jet_fuel,Jet fuel and aviation gasoline,03_CDA,air,Canada,Energy,220.37,no_comment,all,EEI,annual,PJ
2000,all,passenger,air_jet_fuel,Jet fuel and aviation gasoline,08_JPN,air,Japan,Energy,126.36,no_comment,all,EEI,annual,PJ
2000,all,passenger,air_jet_fuel,Jet fuel and aviation gasoline,09_ROK,air,Korea,Energy,7.0,no_comment,all,EEI,annual,PJ
2000,all,passenger,air_jet_fuel,Jet fuel and aviation gasoline,12_NZ,air,New Zealand,Energy,8.24,no_comment,all,EEI,annual,PJ
2000,all,passenger,air_jet_fuel,Jet fuel and aviation gasoline,20_USA,air,United States,Energy,2755.73,no_comment,all,EEI,annual,PJ
