Vehicle Type,Drive,Measure,Economy,Date,Scope,Frequency,Fuel_Type,Unit,Comments,Medium,Value,Transport Type,Dataset,Source
ht,fcev,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,g,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,621846388.002888,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,1210925096.9947824,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,fcev,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,63732902.731394,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,g,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,cng,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,lpg,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,phevd,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
