Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,g,0.1975572007930634,162815.97680480004,BusEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,lpg,0.02690175103533376,22170.970508766175,BusEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,phevd,0.017833876905620345,14697.718316259385,BusEv_est,8th/IeaEv
08_JPN,2021-12-31,National,Yearly,passenger,road,bus,bev,0.00031783789396285997,70.97161253243682,BusEv_est,8th/IeaEv
08_JPN,2021-12-31,National,Yearly,passenger,road,bus,d,0.8941826652519707,199666.51823743878,BusEv_est,8th/IeaEv
08_JPN,2021-12-31,National,Yearly,passenger,road,bus,fcev,9.401610158860153e-05,20.99332540422678,BusEv_est,8th/IeaEv
08_JPN,2021-12-31,National,Yearly,passenger,road,bus,g,0.0864007973599248,19292.866046484407,BusEv_est,8th/IeaEv
08_JPN,2021-12-31,National,Yearly,passenger,road,bus,lpg,0.000922253187011996,205.93452539384364,BusEv_est,8th/IeaEv
08_JPN,2021-12-31,National,Yearly,passenger,road,bus,phevd,0.004808252052674192,1073.6586421018837,BusEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,passenger,road,bus,bev,0.0013500063121318808,78.24096582591528,BusEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,passenger,road,bus,cng,0.6918489180854716,40096.79589656159,BusEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,passenger,road,bus,d,0.11603473423794092,6724.909057494104,BusEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,passenger,road,bus,g,0.11384637497922122,6598.080508295745,BusEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,passenger,road,bus,lpg,0.07113029149602318,4122.427173943519,BusEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,passenger,road,bus,bev,0.005387930777850072,59.00861787901398,BusEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,passenger,road,bus,cng,0.0014530053123058934,15.913314180374146,BusEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,passenger,road,bus,d,0.9621619552425589,10537.597733816505,BusEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,passenger,road,bus,g,0.020251261540263393,221.79181638896466,BusEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,passenger,road,bus,lpg,0.0014530053123058934,15.913314180374146,BusEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,passenger,road,bus,bev,0.1826748468963895,163711.7363897691,BusEv_est,8th/IeaEv
