,economy,date,medium,measure,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,dataset,drive,value
19297,12_NZ,2016,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19298,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19299,12_NZ,2018,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19300,12_NZ,2019,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19301,12_NZ,2020,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19302,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19303,12_NZ,2000,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19304,12_NZ,2001,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19305,12_NZ,2002,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19306,12_NZ,2003,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19307,12_NZ,2004,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19308,12_NZ,2005,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19309,12_NZ,2006,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
