,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value
3707,2012,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3708,2013,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3709,2014,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3710,2015,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3711,2016,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3712,2017,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3713,2018,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3714,2019,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3715,2020,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3716,2021,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3717,2022,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3718,2023,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,826719576.719576
3719,2010,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3720,2011,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3721,2012,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3722,2013,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3723,2014,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3724,2015,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3725,2016,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3726,2017,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3727,2018,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3728,2019,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3729,2020,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3730,2021,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3731,2022,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3732,2023,lcv,efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3733,2010,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3734,2011,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3735,2012,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3736,2013,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3737,2014,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3738,2015,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3739,2016,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3740,2017,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3741,2018,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
3742,2019,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,236205593.34845
