Economy,Scenario,Drive,Medium,Transport Type,Vehicle Type,Measure,Fuel,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,Carbon Neutral,bev,road,passenger,lv,Stocks,Nonspecified,0.000334,0.000426,0.020787,0.039447,0.058506,0.080062,0.104832,0.150172,0.240711,0.398329,0.664335,1.03963,1.491115,1.977711,2.456378,2.942794,3.400724,3.8675,4.328059,4.785602,5.230933,5.665667,6.065473,6.483121,6.893972,7.299166,7.699512,8.095688,8.488231,8.877554,9.263597,9.64643,10.026023,10.402289,10.96883,11.105576,11.245456,11.388581,11.535052,11.684964,11.838392,11.995406,12.156059,12.320415,12.488562,12.660587,12.836567,13.016576,13.200699,13.38903,13.581676,13.778731,13.980288,14.186458
01_AUS,Carbon Neutral,cng,road,passenger,lv,Stocks,Nonspecified,0.035002,0.035002,0.031852,0.028985,0.026376,0.024002,0.021842,0.019876,0.018088,0.01646,0.014978,0.01363,0.012404,0.011287,0.010271,0.009347,0.008506,0.00774,0.007044,0.00641,0.005833,0.005308,0.00483,0.004395,0.004,0.00364,0.003312,0.003014,0.002743,0.002496,0.002271,0.002067,0.001881,0.001712,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558,0.001558
01_AUS,Carbon Neutral,d,road,passenger,lv,Stocks,Nonspecified,1.464429,1.464715,1.375787,1.283913,1.193565,1.11306,1.039899,0.973243,0.911891,0.852888,0.796853,0.743256,0.692258,0.644271,0.599187,0.557807,0.519155,0.483758,0.450906,0.420316,0.391965,0.365638,0.340831,0.318003,0.296672,0.276696,0.257943,0.240296,0.223649,0.207905,0.192978,0.178791,0.165276,0.152374,0.140361,0.140577,0.140798,0.141025,0.141256,0.141493,0.141735,0.141983,0.142237,0.142497,0.142762,0.143034,0.143312,0.143596,0.143887,0.144185,0.144489,0.1448,0.145119,0.145445
01_AUS,Carbon Neutral,fcev,road,passenger,lv,Stocks,Nonspecified,,0.0,0.0,0.0,0.0,0.0,1e-06,3e-06,2.6e-05,0.000179,0.001268,0.006022,0.018361,0.039223,0.064917,0.093313,0.120797,0.148529,0.17559,0.202149,0.228074,0.253473,0.277115,0.301734,0.326082,0.350236,0.374253,0.398187,0.422078,0.445963,0.46985,0.493754,0.517683,0.541641,0.57638,0.583977,0.591748,0.599699,0.607836,0.616165,0.624689,0.633412,0.642337,0.651468,0.660809,0.670366,0.680143,0.690143,0.700372,0.710835,0.721538,0.732485,0.743683,0.755137
01_AUS,Carbon Neutral,g,road,passenger,lv,Stocks,Nonspecified,12.05273,12.064402,12.369991,12.42186,12.46211,12.654328,12.831769,12.98977,13.098431,13.017264,12.832154,12.540109,12.168914,11.756475,11.307957,10.889591,10.455308,10.056049,9.662175,9.270687,8.889847,8.518109,8.134239,7.777799,7.426746,7.080238,6.737426,6.397589,6.060118,5.724519,5.390315,5.057241,4.725144,4.393981,4.084783,4.09853,4.112593,4.126981,4.141706,4.156777,4.172201,4.187986,4.204137,4.22066,4.237564,4.254858,4.272549,4.290646,4.309156,4.328089,4.347456,4.367266,4.387529,4.408255
01_AUS,Carbon Neutral,lpg,road,passenger,lv,Stocks,Nonspecified,0.252759,0.252807,0.243081,0.236735,0.234536,0.235814,0.237114,0.238221,0.238679,0.23707,0.233582,0.228154,0.221287,0.213668,0.205657,0.197899,0.190133,0.182713,0.175411,0.168166,0.161133,0.154283,0.147442,0.140877,0.134426,0.128074,0.121802,0.115598,0.109451,0.103349,0.097285,0.091254,0.08525,0.079271,0.073473,0.073575,0.073679,0.073786,0.073895,0.074007,0.074121,0.074238,0.074358,0.07448,0.074606,0.074734,0.074865,0.074999,0.075136,0.075277,0.07542,0.075567,0.075718,0.075871
01_AUS,Carbon Neutral,phevg,road,passenger,lv,Stocks,Nonspecified,0.001062,0.001198,0.029526,0.060083,0.095929,0.136139,0.172977,0.206344,0.235482,0.257009,0.272251,0.281286,0.285374,0.286159,0.284427,0.281992,0.278121,0.273985,0.269037,0.263246,0.257027,0.250396,0.242945,0.235542,0.227779,0.219672,0.211238,0.20249,0.193445,0.18412,0.174529,0.164692,0.154628,0.144358,0.134354,0.134649,0.13495,0.135259,0.135574,0.135897,0.136228,0.136566,0.136912,0.137266,0.137629,0.137999,0.138379,0.138766,0.139163,0.139569,0.139984,0.140409,0.140843,0.141287
01_AUS,Reference,bev,road,freight,ht,Stocks,Nonspecified,,6e-06,4.6e-05,8.3e-05,0.000127,0.000193,0.000276,0.00041,0.000635,0.00099,0.00154,0.002301,0.003232,0.00426,0.005315,0.006356,0.007361,0.008326,0.009251,0.010173,0.011338,0.012789,0.014577,0.016758,0.019401,0.022584,0.026394,0.030933,0.036311,0.042648,0.050072,0.058712,0.068693,0.080125,0.092988,0.095187,0.097416,0.09967,0.101957,0.10427,0.10662,0.108989,0.111398,0.113816,0.116281,0.118741,0.121261,0.12375,0.126321,0.128823,0.131443,0.133932,0.136601,0.139037
01_AUS,Reference,cng,road,freight,ht,Stocks,Nonspecified,3.4e-05,7.3e-05,0.000319,0.000571,0.000875,0.001319,0.001799,0.002206,0.002597,0.002953,0.003293,0.003618,0.003929,0.004229,0.004518,0.004798,0.005069,0.005331,0.005586,0.005832,0.006069,0.006296,0.006514,0.006722,0.006921,0.007109,0.007287,0.007453,0.007607,0.007746,0.007869,0.007975,0.00806,0.008123,0.008169,0.008242,0.008316,0.008391,0.008467,0.008544,0.008622,0.008701,0.008781,0.008861,0.008943,0.009025,0.009109,0.009192,0.009277,0.00936,0.009448,0.00953,0.009619,0.0097
01_AUS,Reference,d,road,freight,ht,Stocks,Nonspecified,0.636547,0.652715,0.666325,0.664616,0.662963,0.67766,0.6925,0.711668,0.730867,0.746025,0.761111,0.776116,0.791098,0.806152,0.821353,0.836723,0.852219,0.867758,0.883279,0.898687,0.913743,0.928433,0.942755,0.956681,0.970131,0.982999,0.99517,1.006503,1.016827,1.025945,1.033619,1.039581,1.043536,1.045164,1.045847,1.061037,1.076431,1.091997,1.1078,1.123772,1.140005,1.156368,1.173011,1.189711,1.206739,1.223729,1.241135,1.258331,1.27609,1.293368,1.311473,1.328661,1.347097,1.363925
