Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Year,Value
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2003,31000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2003,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2003,13185871.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2003,25424477.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2003,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2003,765000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2003,18000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2004,4704855.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2004,2754468.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2004,3691783.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2004,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2004,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2004,13000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2004,17837550.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2004,1903845.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2004,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2004,27000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2004,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2004,14523138.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2004,29926892.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2004,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2004,778000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2004,20000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2005,4878907.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2005,2900727.0
