Measure,Value,Unit,Economy,Source,Comments,Scope,Frequency,Date,Dataset
COVID Google Mobility Data - Public transport stations,0.3056666666666666,%,01_AUS,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Public transport stations,0.2906451612903226,%,01_AUS,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Public transport stations,0.416,%,01_AUS,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Public transport stations,0.5516129032258065,%,01_AUS,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Public transport stations,0.6041935483870968,%,01_AUS,Google,,National,Monthly,2021-08-31,ATO
COVID Google Mobility Data - Public transport stations,0.5873333333333334,%,01_AUS,Google,,National,Monthly,2021-09-30,ATO
COVID Google Mobility Data - Public transport stations,0.5238709677419355,%,01_AUS,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Public transport stations,0.4323333333333333,%,01_AUS,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Public transport stations,0.4329032258064516,%,01_AUS,Google,,National,Monthly,2021-12-31,ATO
COVID Google Mobility Data - Public transport stations,0.5280645161290323,%,01_AUS,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Public transport stations,0.4364285714285714,%,01_AUS,Google,,National,Monthly,2022-02-28,ATO
COVID Google Mobility Data - Public transport stations,0.4132258064516129,%,01_AUS,Google,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Workplaces,0.1046666666666667,%,01_AUS,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Workplaces,0.03774193548387097,%,01_AUS,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Workplaces,0.401,%,01_AUS,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Workplaces,0.2506451612903226,%,01_AUS,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Workplaces,0.1686666666666667,%,01_AUS,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Workplaces,0.1903225806451613,%,01_AUS,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Workplaces,0.1912903225806452,%,01_AUS,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Workplaces,0.1816666666666667,%,01_AUS,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Workplaces,0.1522580645161291,%,01_AUS,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Workplaces,0.09866666666666667,%,01_AUS,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Workplaces,0.2119354838709678,%,01_AUS,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Workplaces,0.2225806451612903,%,01_AUS,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Workplaces,0.09821428571428571,%,01_AUS,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Workplaces,0.07645161290322582,%,01_AUS,Google,,National,Monthly,2021-03-31,ATO
COVID Google Mobility Data - Workplaces,0.1663333333333333,%,01_AUS,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Workplaces,0.06129032258064516,%,01_AUS,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Workplaces,0.1066666666666667,%,01_AUS,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Workplaces,0.1938709677419355,%,01_AUS,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Workplaces,0.2174193548387097,%,01_AUS,Google,,National,Monthly,2021-08-31,ATO
COVID Google Mobility Data - Workplaces,0.2286666666666667,%,01_AUS,Google,,National,Monthly,2021-09-30,ATO
COVID Google Mobility Data - Workplaces,0.1829032258064516,%,01_AUS,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Workplaces,0.1093333333333333,%,01_AUS,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Workplaces,0.2193548387096774,%,01_AUS,Google,,National,Monthly,2021-12-31,ATO
COVID Google Mobility Data - Workplaces,0.2725806451612904,%,01_AUS,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Workplaces,0.1153571428571429,%,01_AUS,Google,,National,Monthly,2022-02-28,ATO
COVID Google Mobility Data - Workplaces,0.1074193548387097,%,01_AUS,Google,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Residential,0.012,%,01_AUS,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Residential,0.05225806451612903,%,01_AUS,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Residential,0.1823333333333333,%,01_AUS,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Residential,0.13,%,01_AUS,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Residential,0.092,%,01_AUS,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Residential,0.09225806451612904,%,01_AUS,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Residential,0.0996774193548387,%,01_AUS,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Residential,0.08333333333333334,%,01_AUS,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Residential,0.07225806451612903,%,01_AUS,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Residential,0.04866666666666666,%,01_AUS,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Residential,0.05419354838709677,%,01_AUS,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Residential,0.07129032258064516,%,01_AUS,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Residential,0.04892857142857143,%,01_AUS,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Residential,0.0367741935483871,%,01_AUS,Google,,National,Monthly,2021-03-31,ATO
COVID Google Mobility Data - Residential,0.04766666666666666,%,01_AUS,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Residential,0.03903225806451614,%,01_AUS,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Residential,0.067,%,01_AUS,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Residential,0.1116129032258065,%,01_AUS,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Residential,0.1312903225806452,%,01_AUS,Google,,National,Monthly,2021-08-31,ATO
COVID Google Mobility Data - Residential,0.1243333333333333,%,01_AUS,Google,,National,Monthly,2021-09-30,ATO
COVID Google Mobility Data - Residential,0.0896774193548387,%,01_AUS,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Residential,0.04833333333333333,%,01_AUS,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Residential,0.05483870967741935,%,01_AUS,Google,,National,Monthly,2021-12-31,ATO
COVID Google Mobility Data - Residential,0.09935483870967741,%,01_AUS,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Residential,0.05678571428571429,%,01_AUS,Google,,National,Monthly,2022-02-28,ATO
COVID Google Mobility Data - Residential,0.05096774193548387,%,01_AUS,Google,,National,Monthly,2022-03-31,ATO
COVID Apple Mobility Data - Walking,0.03340526315789472,%,01_AUS,Apple,,National,Monthly,2020-01-31,ATO
COVID Apple Mobility Data - Walking,0.08037586206896535,%,01_AUS,Apple,,National,Monthly,2020-02-29,ATO
COVID Apple Mobility Data - Walking,0.2460806451612903,%,01_AUS,Apple,,National,Monthly,2020-03-31,ATO
COVID Apple Mobility Data - Walking,0.57418,%,01_AUS,Apple,,National,Monthly,2020-04-30,ATO
COVID Apple Mobility Data - Walking,0.4645965517241379,%,01_AUS,Apple,,National,Monthly,2020-05-31,ATO
COVID Apple Mobility Data - Walking,0.2967166666666664,%,01_AUS,Apple,,National,Monthly,2020-06-30,ATO
COVID Apple Mobility Data - Walking,0.24388064516129,%,01_AUS,Apple,,National,Monthly,2020-07-31,ATO
COVID Apple Mobility Data - Walking,0.3306290322580644,%,01_AUS,Apple,,National,Monthly,2020-08-31,ATO
COVID Apple Mobility Data - Walking,0.2678633333333329,%,01_AUS,Apple,,National,Monthly,2020-09-30,ATO
COVID Apple Mobility Data - Walking,0.2187258064516125,%,01_AUS,Apple,,National,Monthly,2020-10-31,ATO
COVID Apple Mobility Data - Walking,0.1584066666666665,%,01_AUS,Apple,,National,Monthly,2020-11-30,ATO
COVID Apple Mobility Data - Walking,0.0615290322580643,%,01_AUS,Apple,,National,Monthly,2020-12-31,ATO
COVID Apple Mobility Data - Walking,0.06864516129032251,%,01_AUS,Apple,,National,Monthly,2021-01-31,ATO
COVID Apple Mobility Data - Walking,0.03901428571428567,%,01_AUS,Apple,,National,Monthly,2021-02-28,ATO
COVID Apple Mobility Data - Walking,0.005199999999999915,%,01_AUS,Apple,,National,Monthly,2021-03-31,ATO
COVID Apple Mobility Data - Walking,0.08507999999999986,%,01_AUS,Apple,,National,Monthly,2021-04-30,ATO
COVID Apple Mobility Data - Walking,0.001122580645161265,%,01_AUS,Apple,,National,Monthly,2021-05-31,ATO
COVID Apple Mobility Data - Walking,0.114063333333333,%,01_AUS,Apple,,National,Monthly,2021-06-30,ATO
COVID Apple Mobility Data - Walking,0.2469161290322578,%,01_AUS,Apple,,National,Monthly,2021-07-31,ATO
COVID Apple Mobility Data - Walking,0.3450258064516128,%,01_AUS,Apple,,National,Monthly,2021-08-31,ATO
COVID Apple Mobility Data - Walking,0.2830766666666664,%,01_AUS,Apple,,National,Monthly,2021-09-30,ATO
COVID Apple Mobility Data - Walking,0.176606451612903,%,01_AUS,Apple,,National,Monthly,2021-10-31,ATO
COVID Apple Mobility Data - Walking,0.003973333333333359,%,01_AUS,Apple,,National,Monthly,2021-11-30,ATO
COVID Apple Mobility Data - Walking,0.1271999999999997,%,01_AUS,Apple,,National,Monthly,2021-12-31,ATO
COVID Apple Mobility Data - Walking,0.01438387096774195,%,01_AUS,Apple,,National,Monthly,2022-01-31,ATO
COVID Apple Mobility Data - Walking,0.1551892857142855,%,01_AUS,Apple,,National,Monthly,2022-02-28,ATO
COVID Apple Mobility Data - Walking,0.2044833333333331,%,01_AUS,Apple,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.06533333333333333,%,06_HKC,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.05483870967741935,%,06_HKC,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.03166666666666666,%,06_HKC,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.007741935483870968,%,06_HKC,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.01266666666666667,%,06_HKC,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.09935483870967741,%,06_HKC,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.0896774193548387,%,06_HKC,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.139,%,06_HKC,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.2316129032258064,%,06_HKC,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.2656666666666667,%,06_HKC,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.2348387096774193,%,06_HKC,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.2277419354838709,%,06_HKC,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.2685714285714286,%,06_HKC,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.2619354838709678,%,06_HKC,Google,,National,Monthly,2021-03-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.3093333333333333,%,06_HKC,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.3993548387096774,%,06_HKC,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.3983333333333334,%,06_HKC,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.3806451612903226,%,06_HKC,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.4051612903225806,%,06_HKC,Google,,National,Monthly,2021-08-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.4163333333333333,%,06_HKC,Google,,National,Monthly,2021-09-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.4280645161290322,%,06_HKC,Google,,National,Monthly,2021-10-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.4393333333333333,%,06_HKC,Google,,National,Monthly,2021-11-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.5029032258064516,%,06_HKC,Google,,National,Monthly,2021-12-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.5148387096774194,%,06_HKC,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.3185714285714286,%,06_HKC,Google,,National,Monthly,2022-02-28,ATO
